,unique_participant,patch_length,feedback,prior_0_context_0,prior_0_context_1,prior_0_context_2,prior_0_context_3,prior_1_context_0,prior_1_context_1,prior_1_context_2,prior_1_context_3
0,10:2019_May_13_1105,5 Trials,CONTROL FEEDBACK,361.5079365142858,363.54166666875005,362.06140350526306,379.16666665588224,340.44117647058835,377.19298245263155,369.1441441540541,352.3504273538462
1,11:2019_May_13_1349,10 Trials,CONTROL FEEDBACK,318.12297734077674,327.5,370.23809523809524,329.8245614052632,314.70588234705883,331.86274508823533,309.37500000625,345.19607843529417
2,12:2019_May_13_1353,5 Trials,CONTROL FEEDBACK,322.22222222444447,323.73737373939395,327.6315789526316,328.0092592555555,322.6190476171429,327.027027027027,327.35042734358973,322.6190476142857
3,13:2019_May_13_1355,10 Trials,CONTROL FEEDBACK,325.7788161981308,311.25,319.6969697,384.21052631052635,339.35185185,301.47058822941176,304.9999999866667,332.0075757624999
4,14:2019_May_13_1418,5 Trials,CONTROL FEEDBACK,360.7954545386364,323.69791665624996,345.94017094358975,364.70588235294116,364.46078431176466,348.84259259166674,362.9385965,349.07407407333335
5,15:2019_May_14_1006,10 Trials,CONTROL FEEDBACK,414.10984847840905,404.16666666875,417.6470588294118,429.1666666611111,392.98245613157894,407.1969696954544,385.3174603190476,387.4610591915889
6,16:2019_May_14_1236,5 Trials,CONTROL FEEDBACK,434.68992247441844,445.1388888916666,438.0630630621621,424.73958333125,427.20588234999997,432.6190476171429,417.929292930303,423.7804878097562
7,17:2019_May_14_1500,10 Trials,CONTROL FEEDBACK,342.35294117176477,357.22222222666664,347.5490196117647,350.92592592222223,358.7719298263158,347.72727272272726,345.63492063809525,355.3459119537737
8,18:2019_May_14_1538,5 Trials,CONTROL FEEDBACK,395.58823530588245,431.37254902941186,418.18181819090915,458.0952380971427,467.96874999687486,483.5858585939394,439.89898989393924,442.34234233783775
9,19:2019_May_14_1740,10 Trials,CONTROL FEEDBACK,340.13409961494244,375.0,442.15686275294115,349.07407407222223,351.3157894736842,319.6969697,331.349206352381,301.75840978623864
10,1:2019_May_02_1326,10 Trials,CONTROL FEEDBACK,483.75527425822787,504.16666665714286,455.7291666625,449.50980392352943,477.31481481666674,464.9122806947369,496.24999999499994,455.64236111041646
11,20:2019_May_14_1803,5 Trials,CONTROL FEEDBACK,399.81481481777786,387.7450980411764,374.54954954324324,376.822916665625,401.76767676666657,374.14529914102565,385.9523809485714,334.629629631111
12,21:2019_May_15_1240,10 Trials,CONTROL FEEDBACK,440.6957928805824,450.43859648947364,421.82539681904757,433.3333333333333,389.21568627058826,413.72549020588235,450.49019607647057,439.6825396773808
13,23:2019_May_15_1816,10 Trials,CONTROL FEEDBACK,332.4509803929412,351.9607843117647,346.5686274588235,338.8888888888889,331.4814814777778,326.1363636363636,342.499999995,341.743827162037
14,24:2019_May_15_1831,5 Trials,CONTROL FEEDBACK,345.3703703777779,342.8921568705882,342.5438596526316,388.6574074083332,370.83333332647044,338.4615384717949,342.7631579026317,362.0155038790698
15,25:2019_May_15_1845,10 Trials,CONTROL FEEDBACK,355.660377359434,345.6140350894737,353.03030303181816,399.50980391764705,365.2777777833333,402.9411764588235,341.14583334375,348.76893938977275
16,26:2019_May_16_1514,5 Trials,CONTROL FEEDBACK,342.98245613947364,377.87356321724144,344.0476190542858,363.09523809714284,313.39285713571434,349.19354839032263,321.94444444333345,322.61904761904765
17,27:2019_May_19_1021,10 Trials,CONTROL FEEDBACK,347.32415902293576,352.3809523857143,384.4696969772727,435.96491229473685,396.7592592611111,384.375,338.02083333125,365.81439393977286
18,28:2019_May_19_1349,5 Trials,CONTROL FEEDBACK,361.23188406086956,333.8383838424243,359.45945945675686,337.74509804411764,375.24509804117645,350.4385964894738,338.96396395675674,328.17460317619054
19,29:2019_May_19_1728,10 Trials,CONTROL FEEDBACK,318.10897436057684,315.4761904714286,318.1818181818182,346.92982455789473,333.7962963,296.5686274470588,331.2500000125,338.9534883732558
20,2:2019_May_02_1329,5 Trials,CONTROL FEEDBACK,351.6260162585365,335.95238095142855,349.76851852500016,377.08333332812487,361.94444444666664,357.692307697436,320.0520833281249,325.3968254
21,30:2019_May_20_1200,5 Trials,CONTROL FEEDBACK,402.5925925911112,434.31372548823526,403.07017543421034,394.5238095257142,381.90476190571434,424.1228070210527,388.963963964865,359.8484848568183
22,31:2019_May_20_1201,10 Trials,CONTROL FEEDBACK,383.53413654337356,399.44444443333333,357.22222222,385.41666666875,378.9473684315789,444.44444443809533,392.4603174571429,400.24509803725505
23,32:2019_May_20_1244,5 Trials,CONTROL FEEDBACK,485.4651162744185,511.36363635757573,491.8918918972971,469.04761904285715,462.3809523742858,457.8703703722223,480.05050505151524,499.99999999782625
24,34:2019_May_20_1337,5 Trials,CONTROL FEEDBACK,336.74242424318186,316.8859649078947,343.4210526263157,337.14285714000005,347.3809523742857,352.85087719736856,339.2156862764706,327.1739130434782
25,35:2019_May_20_1351,10 Trials,CONTROL FEEDBACK,432.1729957810127,385.55555555333336,419.11764705882354,433.33333332941174,366.66666665882354,439.35185185555554,442.916666665,417.6215277812499
26,36:2019_May_20_1619,5 Trials,CONTROL FEEDBACK,294.3089430804878,341.12903225161295,317.3423423405404,325.71428571142843,320.57291666562503,327.9914529923077,318.85964912105254,336.38211381951226
27,37:2019_May_21_1202,10 Trials,CONTROL FEEDBACK,452.51004016265074,454.99999999333335,449.5370370388889,387.96296295,489.4736842105263,419.3181818090909,427.3809523857143,415.3846153846156
28,38:2019_May_22_1040,5 Trials,CONTROL FEEDBACK,423.7499999975001,429.1666666631577,439.9999999971428,479.94791667499993,439.1414141393937,435.7843137323529,459.5588235235294,387.3983739829267
29,39:2019_May_22_1042,10 Trials,CONTROL FEEDBACK,394.83024691296305,438.4259259388889,447.2222222190475,422.22222222222223,402.45098038235295,416.66666665625,411.4583333375,411.96581197179484
30,3:2019_May_05_1141,10 Trials,CONTROL FEEDBACK,334.74842767075484,316.66666666190474,349.9999999954546,359.6491228,360.64814815,318.6274509882353,322.91666666875,345.1960784305882
31,40:2019_May_22_1201,5 Trials,CONTROL FEEDBACK,386.7753623217392,380.55555555757576,338.15789473157884,374.30555555277766,353.9062500093751,393.8596491236843,356.5315315324323,381.5891472860465
32,41:2019_May_23_1739,10 Trials,CONTROL FEEDBACK,470.7854406114942,455.0,468.13725490588234,462.0370370277777,485.64814814999994,469.0476190428571,517.08333333,475.0801282076923
33,42:2019_May_27_1024,5 Trials,CONTROL FEEDBACK,312.7083333325,331.57894736315785,312.9901960705882,318.57142856857143,322.85714286857154,329.2792792810811,305.30303030606063,315.74074074444445
34,43:2019_May_27_1052,10 Trials,CONTROL FEEDBACK,345.4166666719999,337.91666665,332.14285714285717,373.6111111166667,290.74074073333327,314.06249999375,315.68627451764706,378.5294117611765
35,44:2019_May_27_1237,5 Trials,CONTROL FEEDBACK,371.48148148444454,385.1562499968749,376.3888888888889,403.0952381,373.7745098058823,401.1574074027777,383.1081081162162,367.54385965
36,45:2019_May_27_1239,10 Trials,CONTROL FEEDBACK,318.22916666125013,311.97916666875,367.64705881176474,308.3333333277778,349.5370370388889,342.4603174571429,332.499999995,316.3522012556604
37,46:2019_May_27_1646,5 Trials,CONTROL FEEDBACK,409.10852712790694,441.66666667272716,430.92105263421047,423.0952380971429,390.4411764647058,449.78632478717935,406.5315315297297,394.9186991902439
38,47:2019_May_30_1710,10 Trials,CONTROL FEEDBACK,478.4444444453332,397.395833325,482.84313724705885,505.5555555733333,451.3888888888889,402.91666665500003,454.999999985,430.2287581705884
39,48:2019_Jun_02_1130,5 Trials,CONTROL FEEDBACK,347.9674796707317,337.2685185111111,357.0175438578948,354.2929293000002,329.52380952857146,339.63963964324324,333.5784313764705,327.12765957234046
40,49:2019_Jun_04_1151,10 Trials,CONTROL FEEDBACK,361.49691358148135,370.23809523809524,384.9206349333333,370.1754385947368,361.57407407777777,391.6666666647059,373.4375,396.07279693563225
41,4:2019_May_05_1429,5 Trials,CONTROL FEEDBACK,405.41666666500004,424.0476190428569,423.42342342972984,493.6868686787879,415.59139784838715,407.3809523800001,439.72222222333335,391.4728682162791
42,50:2019_Jun_04_1333,5 Trials,CONTROL FEEDBACK,396.05263157105253,438.13131312727256,460.042735048718,467.7419354838711,492.5287356344827,463.0208333281248,405.6547618964284,432.5757575727271
43,51:2019_Jun_05_1622,10 Trials,CONTROL FEEDBACK,486.8243243283784,458.33333333846156,457.7380952357143,422.91666666875,437.9629629611111,429.3859649157895,420.41666666000003,429.9808429149425
44,53:2019_Jun_05_1634,10 Trials,CONTROL FEEDBACK,470.59925093595484,428.64583333125,451.47058823529414,441.6666666666667,448.6842105210527,448.484848481818,443.6507936523808,431.4984709522938
45,54:2019_Jun_06_1516,5 Trials,CONTROL FEEDBACK,372.0370370377777,397.74774774594596,420.1388888888888,414.28571428285704,405.2380952428571,423.37962963055554,387.37373736666655,391.28787878636376
46,55:2019_Jul_07_1140,10 Trials,CONTROL FEEDBACK,414.86928104607847,389.2857142809524,408.7121212090909,406.66666667,358.3333333352941,401.19047617857143,416.1458333375,421.80232558488365
