patch_length,feedback,prior,context,count,mean,median,std
5,CONTROL FEEDBACK,0.0,0.0,46.0,431.78,426.15,48.27
5,CONTROL FEEDBACK,0.0,1.0,46.0,431.4,432.18,48.98
5,CONTROL FEEDBACK,0.0,2.0,46.0,431.83,428.42,46.27
5,CONTROL FEEDBACK,0.0,3.0,46.0,432.25,426.7,47.53
5,CONTROL FEEDBACK,1.0,0.0,46.0,434.41,432.41,50.41
5,CONTROL FEEDBACK,1.0,1.0,46.0,432.58,431.91,48.95
5,CONTROL FEEDBACK,1.0,2.0,46.0,430.69,423.14,48.12
5,CONTROL FEEDBACK,1.0,3.0,46.0,424.49,419.59,47.85
10,CONTROL FEEDBACK,0.0,0.0,47.0,428.32,412.33,49.03
10,CONTROL FEEDBACK,0.0,1.0,47.0,429.1,426.32,53.38
10,CONTROL FEEDBACK,0.0,2.0,47.0,428.66,419.07,49.77
10,CONTROL FEEDBACK,0.0,3.0,47.0,426.61,418.28,48.57
10,CONTROL FEEDBACK,1.0,0.0,47.0,428.38,420.11,49.68
10,CONTROL FEEDBACK,1.0,1.0,47.0,425.72,415.32,50.09
10,CONTROL FEEDBACK,1.0,2.0,47.0,425.68,408.74,47.78
10,CONTROL FEEDBACK,1.0,3.0,47.0,423.69,414.35,47.72
