,unique_participant,patch_length,feedback,prior_0_context_0,prior_0_context_1,prior_0_context_2,prior_0_context_3,prior_1_context_0,prior_1_context_1,prior_1_context_2,prior_1_context_3
0,15856:2022-03-03 10:41:00.911,5 Trials,CONTROL FEEDBACK,487.4175675675676,453.16999999999996,493.4266666666668,486.8291666666667,480.51463414634145,481.3210526315789,475.08214285714286,451.5454545454546
1,16543:2022-03-08 21:51:45.267,10 Trials,CONTROL FEEDBACK,581.1879032500002,577.8655171724138,588.6791668333333,589.2210526842103,559.7090907727272,558.9869564782609,574.6468749687499,570.590196137255
2,18553:2022-05-29 10:18:46.876,10 Trials,CONTROL FEEDBACK,393.12615384615395,387.7781250000001,400.71724137931034,415.0400000000001,375.8285714285715,382.5750000000001,373.1000000000001,373.6153846153845
3,22666:2022-05-24 16:27:49.573,5 Trials,CONTROL FEEDBACK,472.92531645569636,481.6918365510204,468.05111115555553,433.49565191304345,459.0631577105263,452.81891918918905,442.00333333333333,458.2147058823529
4,25837:2022-03-03 17:45:34.739,10 Trials,CONTROL FEEDBACK,385.6796747967481,371.09259259259267,400.16052631578964,375.22777777777776,361.83181818181816,346.24999999999994,384.2116279069768,377.7810344827586
5,27343:2022-03-02 19:14:40.031,10 Trials,CONTROL FEEDBACK,385.5871212121212,389.8885714285715,392.8032258064515,381.23,391.38571428571424,377.37142857142857,384.0555555555555,383.71702127659574
6,27856:2022-05-07 12:04:38.323,5 Trials,CONTROL FEEDBACK,491.09999999999997,458.76363636363635,469.98863645454554,457.1062500625,455.3897435384615,460.32424236363636,456.05862075862063,437.40000005
7,28264:2022-05-16 21:01:30.503,5 Trials,CONTROL FEEDBACK,394.8602150537635,398.61800000000005,400.3062500000001,403.22272727272724,386.8414634146342,405.69736842105254,383.98666666666674,398.52777777777777
8,28750:2022-03-04 18:49:19.537,5 Trials,CONTROL FEEDBACK,399.1333333333333,394.8803030303031,429.7183673469387,416.7933333333333,384.7282051282052,381.6935483870969,383.87619047619046,363.58750000000003
9,29197:2022-03-12 04:17:59.277,10 Trials,CONTROL FEEDBACK,424.62477064220184,406.7923076923077,411.1666666666667,427.2857142857142,396.0619047619048,393.423076923077,393.90200000000004,384.8326923076923
10,31471:2022-08-07 17:16:22.690,10 Trials,CONTROL FEEDBACK,392.56953125,384.565625,386.74799999999993,400.7,407.8863636363636,397.2681818181818,388.49787234042554,387.63898305084746
11,32152:2022-03-08 17:03:09.099,5 Trials,CONTROL FEEDBACK,471.39,464.93269230769226,471.28181818181815,502.2041666666666,456.17804878048787,455.4777777777778,447.8387096774194,457.237037037037
12,32470:2022-05-15 21:38:14.322,5 Trials,CONTROL FEEDBACK,422.20657894736837,428.7461538461538,410.65609756097564,421.58076923076925,417.10000000000014,405.0783783783784,417.8290322580645,398.8230769230769
13,32497:2022-03-03 11:44:47.082,10 Trials,CONTROL FEEDBACK,451.41196581196573,451.4769230769231,475.38709677419354,459.3666666666666,446.75714285714287,448.3192307692306,451.0325000000001,431.66307692307697
14,32758:2022-03-06 15:21:39.945,5 Trials,CONTROL FEEDBACK,333.07101449275365,327.85999999999984,339.915,316.4208333333333,323.30000000000007,328.7894736842106,337.51875,328.5416666666667
15,32959:2022-05-05 08:24:58.167,10 Trials,CONTROL FEEDBACK,444.0314516129035,434.92499999999995,435.43548387096774,442.1185185185185,442.29999999999995,426.14444444444445,429.23400000000004,453.9916666666668
16,33442:2022-06-13 21:18:32.213,5 Trials,CONTROL FEEDBACK,481.15468749999997,490.0703703703703,487.0756097560976,507.2620689655173,477.6731707317072,486.0512195121951,477.5499999999999,464.5435897435897
17,34024:2022-03-03 09:30:22.286,5 Trials,CONTROL FEEDBACK,585.0464788732396,604.7923076923075,586.548717948718,588.508695652174,599.9999999999999,575.6263157894737,570.4687500000001,578.6153846153845
18,34195:2022-03-11 21:32:54.079,10 Trials,CONTROL FEEDBACK,506.72627118644056,490.15000000000003,485.115625,525.6523809523811,504.24090909090904,482.8133333333334,490.95526315789465,488.5769230769231
19,34342:2022-03-07 18:49:08.813,5 Trials,CONTROL FEEDBACK,407.4302631578948,395.865,416.39615384615405,392.4799999999999,384.54615384615386,381.3675,389.46999999999997,384.99999999999994
20,34462:2022-03-08 13:58:00.559,5 Trials,CONTROL FEEDBACK,421.97820512820516,394.2925925925926,405.1731707317074,399.81724137931025,393.7179487179486,401.5325,381.0124999999999,377.57142857142856
21,34537:2022-03-07 17:08:37.038,10 Trials,CONTROL FEEDBACK,412.13779527559035,391.0424242424243,398.36451612903227,421.52727272727276,395.3894736842105,401.79999999999995,401.9711111111111,391.52222222222224
22,34564:2022-03-07 17:13:00.421,5 Trials,CONTROL FEEDBACK,411.94675324675325,408.55500000000023,405.38199999999995,397.13913043478254,412.7999999999999,397.01842105263154,401.16774193548383,393.09999999999997
23,34591:2022-05-02 11:53:21.883,10 Trials,CONTROL FEEDBACK,421.3723577235773,414.90571428571434,435.1370370370371,459.2095238095239,423.23000000000013,412.95833333333326,414.5097560975609,425.974603174603
24,34624:2022-03-05 16:50:27.653,5 Trials,CONTROL FEEDBACK,387.06103896103895,384.28166666666664,380.02142857142854,389.423076923077,377.3975000000001,378.4428571428571,364.25294117647064,367.5148148148148
25,34729:2022-03-03 12:44:47.775,10 Trials,CONTROL FEEDBACK,391.74125874125866,413.0419354838708,425.48750000000007,449.3210526315789,382.5428571428572,404.2538461538462,394.9891891891892,393.7924999999999
26,34744:2022-03-13 12:16:22.050,5 Trials,CONTROL FEEDBACK,432.56428571428575,447.645283018868,451.2116279069769,467.0038461538462,425.2026315789474,425.22499999999997,416.1857142857142,415.0740740740741
27,34855:2022-05-16 16:22:14.115,10 Trials,CONTROL FEEDBACK,412.01896551724127,414.11999999999995,422.89,444.95714285714297,377.12105263157883,396.891304347826,404.17111111111114,391.7280000000001
28,35041:2022-03-05 12:42:20.902,10 Trials,CONTROL FEEDBACK,389.364393939394,379.7133333333333,389.08571428571423,410.8884615384616,379.5,369.71200000000005,373.6106382978723,374.4816326530613
29,35131:2022-03-05 12:52:39.713,10 Trials,CONTROL FEEDBACK,371.71551724137925,381.7464285714286,373.71025641025636,387.10588235294114,391.85,357.3666666666667,352.98431372549015,369.784
30,35152:2022-03-05 21:46:02.825,5 Trials,CONTROL FEEDBACK,425.721505376344,409.322641509434,403.6888888888888,459.938888888889,400.1257142857143,408.23333333333346,399.74285714285713,388.5941176470589
31,35299:2022-06-22 15:11:08.929,10 Trials,CONTROL FEEDBACK,415.9714285714286,417.31724137931036,427.3428571428571,422.67368421052635,394.6818181818182,441.4307692307693,414.33809523809526,393.10697674418617
32,35398:2022-03-02 20:44:56.107,5 Trials,CONTROL FEEDBACK,510.59753086419755,507.33050847457616,488.0595744680851,522.6692307692308,481.9631578947369,499.0878787878787,484.94000000000005,471.58214285714297
33,35419:2022-03-03 20:55:06.495,10 Trials,CONTROL FEEDBACK,403.2524590163935,416.7571428571428,397.7742857142858,400.84285714285716,400.80000000000007,398.272,383.6979999999998,409.37692307692305
34,35500:2022-06-23 23:23:09.213,5 Trials,CONTROL FEEDBACK,441.27341772151885,449.30499999999995,454.025,456.13913043478254,455.2891891891892,449.3384615384614,462.1933333333334,462.27777777777777
35,35779:2022-03-07 00:16:59.894,10 Trials,CONTROL FEEDBACK,386.50763358778624,383.4178571428571,386.0823529411765,395.07000000000005,376.25,388.9481481481482,358.56511627906974,367.9200000000001
36,35887:2022-05-26 16:49:55.322,10 Trials,CONTROL FEEDBACK,457.0217054263565,483.5566666666668,477.45937499999997,422.10952380952375,426.33181818181816,435.07499999999993,447.26750000000004,447.76037735849053
37,35908:2022-05-08 15:03:22.208,5 Trials,CONTROL FEEDBACK,508.2493333333332,499.7703703703704,498.6923076923076,511.5037037037037,478.4825000000001,508.18055555555554,482.125,449.63333333333327
38,35950:2022-03-05 17:28:55.035,5 Trials,CONTROL FEEDBACK,368.3333333333333,370.8,365.60869565217394,383.2903225806452,365.3333333333333,364.5121951219512,347.675,364.6333333333333
39,35953:2022-03-05 12:58:21.547,10 Trials,CONTROL FEEDBACK,405.9296610169491,422.74999999999994,413.03548387096777,429.6388888888889,393.84285714285716,407.3961538461538,390.6650000000001,414.43939393939405
40,35971:2022-03-11 19:58:40.842,10 Trials,CONTROL FEEDBACK,409.7846153846154,408.90909090909093,394.3178571428572,402.8708333333334,393.9695652173913,395.4199999999999,403.73636363636376,362.5199999999999
41,35986:2022-05-11 12:35:24.977,5 Trials,CONTROL FEEDBACK,401.81470588235294,421.20545454545464,396.3037037037037,408.3653846153847,392.4261904761905,402.8714285714286,387.7242424242424,393.4225
42,36025:2022-05-20 13:58:36.120,10 Trials,CONTROL FEEDBACK,551.2698275862074,580.904347826087,568.2555555555556,561.0222222222222,551.4,528.108,519.6472222222225,508.17959183673474
43,36034:2022-03-18 22:35:34.655,5 Trials,CONTROL FEEDBACK,544.2760563380281,553.4039215686273,536.0694444444445,546.5476190476189,519.209090909091,516.3125,529.7740740740742,506.80869565217387
44,36037:2022-03-24 10:45:24.530,10 Trials,CONTROL FEEDBACK,387.94677419354844,393.9655172413793,407.9971428571429,396.14761904761906,406.0523809523809,387.0107142857143,380.5918918918918,378.5509803921568
45,36052:2022-03-12 08:29:03.500,5 Trials,CONTROL FEEDBACK,475.86578947368406,479.51730769230755,454.01333333333343,449.60714285714283,459.23658536585367,438.0950000000001,444.58823529411757,407.7611111111111
46,36055:2022-03-22 20:37:18.885,10 Trials,CONTROL FEEDBACK,400.05074626865667,406.10625000000005,409.6529411764706,416.6888888888889,367.8,379.33600000000007,395.74255319148926,388.23243243243246
47,36058:2022-03-03 19:25:11.443,5 Trials,CONTROL FEEDBACK,453.50632911392415,454.1290322580644,457.33469387755105,452.94615384615383,446.57750000000004,433.9970588235294,458.51176470588234,432.22258064516126
48,36067:2022-03-12 12:18:25.687,10 Trials,CONTROL FEEDBACK,538.3538461538461,551.5,550.1428571428571,558.2222222222222,545.2727272727273,541.375,560.0555555555555,554.0612244897959
49,36100:2022-03-12 16:29:41.469,5 Trials,CONTROL FEEDBACK,367.2987654320988,373.58548387096783,353.7650000000001,386.475,355.8394736842106,344.7111111111111,333.08124999999995,329.74800000000005
50,36118:2022-05-07 19:22:01.257,5 Trials,CONTROL FEEDBACK,477.4729412588236,491.81587301587297,461.3789473421052,473.0909091363637,478.24473681578957,432.73823529411766,474.80833320833335,449.6227271363637
51,36151:2022-03-02 21:07:37.697,10 Trials,CONTROL FEEDBACK,449.82063492063514,450.620588235294,454.8034482758622,469.33500000000004,470.5000000000001,458.21724137931034,421.28536585365845,441.3
52,36172:2022-03-07 09:35:08.836,5 Trials,CONTROL FEEDBACK,406.27710843373495,403.8688524590164,412.1162790697674,431.2068965517241,416.90697674418607,411.4864864864865,397.7878787878788,404.8
53,36190:2022-03-10 17:33:19.003,5 Trials,CONTROL FEEDBACK,436.9588235294117,439.5426229508197,427.05961538461537,424.99090909090916,409.3114285714287,415.3435897435898,409.36470588235306,397.37931034482756
