patch_length,feedback,prior,context,count,mean,median,std
5,CONTROL FEEDBACK,0,0.0,69.0,445.55,441.27,47.63
5,CONTROL FEEDBACK,0,1.0,69.0,445.62,442.51,49.82
5,CONTROL FEEDBACK,0,2.0,69.0,443.37,439.67,47.02
5,CONTROL FEEDBACK,0,3.0,69.0,445.22,439.14,50.51
5,CONTROL FEEDBACK,1,0.0,69.0,435.91,438.62,48.35
5,CONTROL FEEDBACK,1,1.0,69.0,434.27,431.65,47.69
5,CONTROL FEEDBACK,1,2.0,69.0,429.19,426.78,48.9
5,CONTROL FEEDBACK,1,3.0,69.0,424.51,424.62,45.48
10,CONTROL FEEDBACK,0,0.0,65.0,442.36,433.63,45.96
10,CONTROL FEEDBACK,0,1.0,65.0,444.69,437.97,47.51
10,CONTROL FEEDBACK,0,2.0,65.0,446.57,438.44,44.92
10,CONTROL FEEDBACK,0,3.0,65.0,449.04,437.25,46.94
10,CONTROL FEEDBACK,1,0.0,65.0,436.31,426.8,48.17
10,CONTROL FEEDBACK,1,1.0,65.0,432.59,427.15,45.16
10,CONTROL FEEDBACK,1,2.0,65.0,430.03,421.72,45.69
10,CONTROL FEEDBACK,1,3.0,65.0,423.52,414.57,47.53
