,feedback,patch_length,unique_participant,prior,context,RT,RL,trial_num,probed_trial,feedback_manipulation_type,date,trials_since_last_probe
1,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,,424.4389,,2.0,False,0,2018-05-03 10:09:00,
2,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,,391.11853,,3.0,False,0,2018-05-03 10:09:00,
3,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,,407.72379,,4.0,False,0,2018-05-03 10:09:00,
4,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,0.0,366.14288,,5.0,False,0,2018-05-03 10:09:00,
5,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,0.0,382.88245,,6.0,False,0,2018-05-03 10:09:00,
6,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,0.0,374.59024,,7.0,False,0,2018-05-03 10:09:00,6.0
9,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,0.0,366.26694,,10.0,False,0,2018-05-03 10:09:00,2.0
10,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,0.0,482.47775,,11.0,False,0,2018-05-03 10:09:00,3.0
11,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,0.0,715.94073,,12.0,False,0,2018-05-03 10:09:00,4.0
12,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,1.0,391.01743,,13.0,False,0,2018-05-03 10:09:00,5.0
13,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,2.0,416.11801,,14.0,False,0,2018-05-03 10:09:00,6.0
14,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,3.0,415.73105,,15.0,False,0,2018-05-03 10:09:00,7.0
17,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,3.0,341.20288,,18.0,False,0,2018-05-03 10:09:00,2.0
18,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,3.0,382.63132,,19.0,False,0,2018-05-03 10:09:00,3.0
19,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,3.0,357.82623,,20.0,False,0,2018-05-03 10:09:00,4.0
20,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,3.0,382.14597,,21.0,False,0,2018-05-03 10:09:00,5.0
21,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,3.0,466.23984,,22.0,False,0,2018-05-03 10:09:00,6.0
22,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,2.0,482.78592,,23.0,False,0,2018-05-03 10:09:00,7.0
25,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,0.0,416.19196,,26.0,False,0,2018-05-03 10:09:00,2.0
26,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,0.0,374.18457,,27.0,False,0,2018-05-03 10:09:00,3.0
27,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,0.0,382.75629,,28.0,False,0,2018-05-03 10:09:00,4.0
28,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,0.0,374.52988,,29.0,False,0,2018-05-03 10:09:00,5.0
29,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,0.0,382.77863,,30.0,False,0,2018-05-03 10:09:00,6.0
30,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,0.0,365.63068,,31.0,False,0,2018-05-03 10:09:00,7.0
31,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,0.0,441.27899,,32.0,False,0,2018-05-03 10:09:00,8.0
32,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,1.0,324.20642,,33.0,False,0,2018-05-03 10:09:00,9.0
33,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,2.0,324.38391,,34.0,False,0,2018-05-03 10:09:00,10.0
36,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,3.0,307.8511,,37.0,False,0,2018-05-03 10:09:00,2.0
37,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,3.0,366.08887,,38.0,False,0,2018-05-03 10:09:00,3.0
38,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,3.0,532.78278,,39.0,False,0,2018-05-03 10:09:00,4.0
39,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,3.0,332.82645,,40.0,False,0,2018-05-03 10:09:00,5.0
40,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,3.0,373.80243,,41.0,False,0,2018-05-03 10:09:00,6.0
41,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,3.0,357.93399,,42.0,False,0,2018-05-03 10:09:00,7.0
42,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,2.0,524.23071,,43.0,False,0,2018-05-03 10:09:00,8.0
43,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,1.0,357.93036,,44.0,False,0,2018-05-03 10:09:00,9.0
44,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,0.0,407.78717,,45.0,False,0,2018-05-03 10:09:00,10.0
51,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,0.0,466.15564,,52.0,False,0,2018-05-03 10:09:00,2.0
52,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,1.0,340.85092,,53.0,False,0,2018-05-03 10:09:00,3.0
53,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,2.0,457.82086,,54.0,False,0,2018-05-03 10:09:00,4.0
54,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,3.0,416.17416,,55.0,False,0,2018-05-03 10:09:00,5.0
55,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,3.0,382.612,,56.0,False,0,2018-05-03 10:09:00,6.0
56,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,3.0,374.4007,,57.0,False,0,2018-05-03 10:09:00,7.0
57,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,3.0,457.94128,,58.0,False,0,2018-05-03 10:09:00,8.0
58,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,3.0,416.14246,,59.0,False,0,2018-05-03 10:09:00,9.0
59,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,3.0,457.711,,60.0,False,0,2018-05-03 10:09:00,10.0
60,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,3.0,382.17252,,61.0,False,0,2018-05-03 10:09:00,11.0
61,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,3.0,399.40442,,62.0,False,0,2018-05-03 10:09:00,12.0
62,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,2.0,382.86588,,63.0,False,0,2018-05-03 10:09:00,13.0
63,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,1.0,374.47403,,64.0,False,0,2018-05-03 10:09:00,14.0
64,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,0.0,390.98331,,65.0,False,0,2018-05-03 10:09:00,15.0
67,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,0.0,382.90237,,68.0,False,0,2018-05-03 10:09:00,2.0
68,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,0.0,391.17377,,69.0,False,0,2018-05-03 10:09:00,3.0
69,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,0.0,391.18161,,70.0,False,0,2018-05-03 10:09:00,4.0
70,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,0.0,0.0,365.79486,,71.0,False,0,2018-05-03 10:09:00,5.0
71,CONTROL FEEDBACK,10.0,100:2018_May_03_1009,1.0,0.0,382.79974,,72.0,False,0,2018-05-03 10:09:00,6.0
