patch_length,feedback,prior,context,count,mean,median,std
5.0,CONTROL FEEDBACK,0.0,0.0,60.0,435.25,433.25,39.47
5.0,CONTROL FEEDBACK,0.0,1.0,60.0,436.33,441.39,36.45
5.0,CONTROL FEEDBACK,0.0,2.0,60.0,437.3,439.15,35.35
5.0,CONTROL FEEDBACK,0.0,3.0,60.0,435.92,433.24,36.78
5.0,CONTROL FEEDBACK,1.0,0.0,60.0,436.68,437.87,37.41
5.0,CONTROL FEEDBACK,1.0,1.0,60.0,435.92,436.54,36.76
5.0,CONTROL FEEDBACK,1.0,2.0,60.0,432.44,430.02,37.38
5.0,CONTROL FEEDBACK,1.0,3.0,60.0,431.37,430.2,38.39
10.0,CONTROL FEEDBACK,0.0,0.0,57.0,437.7,431.06,34.29
10.0,CONTROL FEEDBACK,0.0,1.0,57.0,438.88,436.02,36.23
10.0,CONTROL FEEDBACK,0.0,2.0,57.0,434.66,428.56,35.62
10.0,CONTROL FEEDBACK,0.0,3.0,57.0,434.7,432.32,38.73
10.0,CONTROL FEEDBACK,1.0,0.0,57.0,437.61,434.58,40.34
10.0,CONTROL FEEDBACK,1.0,1.0,57.0,431.14,426.01,39.88
10.0,CONTROL FEEDBACK,1.0,2.0,57.0,432.46,426.13,38.05
10.0,CONTROL FEEDBACK,1.0,3.0,57.0,429.3,424.32,35.83
