,unique_participant,patch_length,feedback,prior_0_context_0,prior_0_context_1,prior_0_context_2,prior_0_context_3,prior_1_context_0,prior_1_context_1,prior_1_context_2,prior_1_context_3
0,100:2018_May_03_1009,10.0 Trials,CONTROL FEEDBACK,428.597107394958,434.578075652174,463.62339249999997,431.441236,434.3414904545454,414.39007250000003,420.5779763829787,424.8506894805195
1,101:2018_May_06_0947,5.0 Trials,CONTROL FEEDBACK,434.1091158108109,471.2711914545455,459.5952135714286,466.41555379310336,422.77281774999983,422.8366209999999,443.9069366666666,411.1496352777778
2,102:2018_May_07_0934,5.0 Trials,CONTROL FEEDBACK,460.3553478048781,484.03410666666673,466.7062774468085,459.02181500000006,453.62221,455.37899763157884,480.4654005882353,451.2180699999999
3,103:2018_May_07_1002,10.0 Trials,CONTROL FEEDBACK,465.64771741379315,478.07730259259256,471.97855839999994,468.4854856521739,491.3589622727273,453.82927708333335,461.80860023255804,440.09232152777764
4,104:2018_May_07_1025,5.0 Trials,CONTROL FEEDBACK,446.9218919736844,448.65949542372886,441.7247358974358,473.31116799999995,437.37854947368413,449.88016972972963,402.4251251515152,449.2914282352941
5,105:2018_May_07_1035,5.0 Trials,CONTROL FEEDBACK,474.6591248235293,471.13942379999986,448.44803333333334,444.35342384615376,451.18706900000006,461.76979552631576,433.997135625,437.2088960606061
6,108:2018_May_10_1202,10.0 Trials,CONTROL FEEDBACK,438.88198443609025,450.72326709677424,455.4734749999999,493.98398000000003,449.6525828571428,422.72573346153854,422.96836075,421.54690836734704
7,109:2018_May_10_1229,10.0 Trials,CONTROL FEEDBACK,458.34926567164194,455.6690863888889,479.2072878787879,444.41658687500006,437.4070905882354,453.7969517857144,437.53633,447.48498666666654
8,110:2018_May_10_1244,10.0 Trials,CONTROL FEEDBACK,420.93506373239444,417.3650148387097,409.0439141935483,416.6790149999999,383.3327836363637,408.94378423076927,398.5983987804879,392.88525307692305
9,111:2018_May_10_1250,10.0 Trials,CONTROL FEEDBACK,441.1902230147061,452.8431776470588,480.6374164285713,437.5068904545455,419.91294,454.28420666666676,428.78555125000014,426.6609186666666
10,112:2018_May_10_1320,10.0 Trials,CONTROL FEEDBACK,538.2280652985071,528.4524500000001,561.669832,584.0978313636363,539.7426366666667,573.9982231999999,557.389085952381,518.3228582222223
11,113:2018_May_10_1351,10.0 Trials,CONTROL FEEDBACK,451.6261480575538,449.6649270000001,437.7175226666667,443.18529909090904,452.4544819047619,436.46335750000003,439.47168048780475,433.7148018518518
12,114:2018_May_10_1416,10.0 Trials,CONTROL FEEDBACK,443.778298478261,461.49648483870965,458.2575422580644,438.27771272727273,416.72844095238094,469.4032851851853,458.18261675,428.1668391489363
13,115:2018_May_14_1128,10.0 Trials,CONTROL FEEDBACK,399.16828176056345,403.1515580645162,414.478925625,410.3676004761905,375.0576766666666,381.4929725,380.02697756756754,376.38511653846155
14,116:2018_May_14_1225,5.0 Trials,CONTROL FEEDBACK,415.33223867469883,407.1724882692309,407.668182857143,394.654552,410.0997337500001,402.4537735897436,380.2768897142857,403.09180631578954
15,117:2018_May_14_1237,10.0 Trials,CONTROL FEEDBACK,384.92108412280703,384.272766153846,385.9656436,390.38126777777774,378.21753047619046,383.33185125,382.7791204166667,384.4439789333334
16,118:2018_May_14_1307,5.0 Trials,CONTROL FEEDBACK,412.8395217948718,420.7100110526315,392.95319586956515,406.56252066666667,408.2122092105263,412.7465956410256,402.77135975,391.17457181818185
17,119:2018_May_14_1333,10.0 Trials,CONTROL FEEDBACK,490.01866035714283,488.2097856249999,495.95536666666663,493.9755718181818,472.67923666666655,477.54342115384617,474.6346733333333,461.66984814814833
18,11:2017_Nov_30_1241,5.0 Trials,CONTROL FEEDBACK,489.9012369333334,487.80369327272734,495.0977127659574,497.67183214285706,503.7922234146341,499.738938918919,483.226858611111,482.4294243243243
19,120:2018_May_15_1009,5.0 Trials,CONTROL FEEDBACK,447.50519523809515,462.9821947272726,445.04641377777784,454.7337560714286,430.4877735,449.02387564102565,434.31953735294127,409.43781058823527
20,121:2018_May_15_1304,10.0 Trials,CONTROL FEEDBACK,526.1607560526317,526.9093288461538,535.9850216,545.8250258333334,535.7752147619046,509.01517199999995,494.1980499999999,489.24472426666665
21,122:2018_May_17_1139,5.0 Trials,CONTROL FEEDBACK,417.12636472972974,418.38078692307687,417.0608164444445,425.4335961290323,404.94692268292687,417.8084599999999,417.4435424324323,391.8594192307694
22,123:2018_May_21_1101,5.0 Trials,CONTROL FEEDBACK,433.091025180723,432.1461566666667,437.50464086956543,444.10656148148144,438.26247048780505,433.82851650000003,417.9385538235295,418.2139428947369
23,124:2018_May_24_1304,10.0 Trials,CONTROL FEEDBACK,436.6092740677967,434.08267199999995,434.49899296296303,437.5326148148147,445.1354877272727,419.20148695652176,428.8615960784314,412.17154441176467
24,125:2018_May_24_1407,10.0 Trials,CONTROL FEEDBACK,440.81260632352974,464.9467180645162,451.2516332258064,479.55803636363635,455.0862595,426.20101,452.47034868421053,445.4380478846154
25,126:2018_May_24_1419,5.0 Trials,CONTROL FEEDBACK,484.7590216438356,495.1975096428572,496.9646058695652,473.2455703333334,474.4678813157895,475.3095165853659,460.0537586111111,450.82441666666676
26,127:2018_May_24_1426,10.0 Trials,CONTROL FEEDBACK,433.02860402877684,425.7051377419354,454.93750033333333,447.718065,419.0695552380953,431.98954461538455,425.90045435897423,404.76202170212764
27,130:2018_May_30_1244,5.0 Trials,CONTROL FEEDBACK,398.5578228947369,400.37123499999996,402.1295334042554,408.2255853333334,389.21510775000013,391.34412947368423,402.47101999999995,395.37007968750004
28,131:2018_May_30_1346,10.0 Trials,CONTROL FEEDBACK,472.8682972058824,480.5297685294118,500.38319999999993,480.3011189473684,493.5353805263159,491.9330211999999,485.8211278947368,465.24821787878784
29,13:2017_Nov_30_1317,5.0 Trials,CONTROL FEEDBACK,471.85356068965507,480.6987693999999,464.85526404761896,454.37067166666657,445.56584925,464.7583951428572,461.63456558823526,445.9456639285714
30,14:2017_Nov_30_1340,10.0 Trials,CONTROL FEEDBACK,423.88669079646013,419.4169003846155,410.72372499999994,413.7027211111111,402.33311571428567,401.71450695652175,411.464472,387.50843000000015
31,15:2017_Dec_03_0834,5.0 Trials,CONTROL FEEDBACK,457.8472443421053,435.78744578947374,458.97460088888886,447.1712251724138,440.17655875,411.83895421052625,417.4221248484849,429.84688655172414
32,16:2017_Dec_03_0848,5.0 Trials,CONTROL FEEDBACK,442.44004237499985,433.01080709090905,419.63255795454535,431.2820315384615,438.1229455263158,424.5729476315789,436.0077543749999,431.3306697142857
33,18:2017_Dec_03_1003,5.0 Trials,CONTROL FEEDBACK,444.0311769411764,457.52926425925915,448.4152368888889,438.39750185185176,448.72903150000013,454.38174473684205,454.62754718750006,443.54571675675675
34,19:2017_Dec_03_1019,10.0 Trials,CONTROL FEEDBACK,436.6750608547008,457.8814168,419.36311384615385,457.2612433333334,414.32310863636354,433.2115980769231,420.6568549999999,417.074044057971
