,date,patch_length,feedback,unique_participant,prior,context,feedback_manipulation_type,RT
0,2022-06-01 00:45:46.160,5.0,CONTROL FEEDBACK,35308.0:2022-06-01 00:45:46.160,0.0,0.0,0,414.7368421052631
1,2022-06-01 00:45:46.160,5.0,CONTROL FEEDBACK,35308.0:2022-06-01 00:45:46.160,0.0,1.0,0,390.1439024390244
2,2022-06-01 00:45:46.160,5.0,CONTROL FEEDBACK,35308.0:2022-06-01 00:45:46.160,0.0,2.0,0,409.0285714285713
3,2022-06-01 00:45:46.160,5.0,CONTROL FEEDBACK,35308.0:2022-06-01 00:45:46.160,0.0,3.0,0,408.9414634146342
4,2022-06-01 00:45:46.160,5.0,CONTROL FEEDBACK,35308.0:2022-06-01 00:45:46.160,1.0,0.0,0,427.31136363636347
5,2022-06-01 00:45:46.160,5.0,CONTROL FEEDBACK,35308.0:2022-06-01 00:45:46.160,1.0,1.0,0,411.33414634146345
6,2022-06-01 00:45:46.160,5.0,CONTROL FEEDBACK,35308.0:2022-06-01 00:45:46.160,1.0,2.0,0,410.0409090909089
7,2022-06-01 00:45:46.160,5.0,CONTROL FEEDBACK,35308.0:2022-06-01 00:45:46.160,1.0,3.0,0,411.71486486486486
8,2022-06-01 10:33:01.245,5.0,CONTROL FEEDBACK,36988.0:2022-06-01 10:33:01.245,0.0,0.0,0,387.24444444444447
9,2022-06-01 10:33:01.245,5.0,CONTROL FEEDBACK,36988.0:2022-06-01 10:33:01.245,0.0,1.0,0,382.61395348837215
10,2022-06-01 10:33:01.245,5.0,CONTROL FEEDBACK,36988.0:2022-06-01 10:33:01.245,0.0,2.0,0,394.83589743589744
11,2022-06-01 10:33:01.245,5.0,CONTROL FEEDBACK,36988.0:2022-06-01 10:33:01.245,0.0,3.0,0,404.14390243902443
12,2022-06-01 10:33:01.245,5.0,CONTROL FEEDBACK,36988.0:2022-06-01 10:33:01.245,1.0,0.0,0,401.15641025641014
13,2022-06-01 10:33:01.245,5.0,CONTROL FEEDBACK,36988.0:2022-06-01 10:33:01.245,1.0,1.0,0,372.05384615384617
14,2022-06-01 10:33:01.245,5.0,CONTROL FEEDBACK,36988.0:2022-06-01 10:33:01.245,1.0,2.0,0,392.25
15,2022-06-01 10:33:01.245,5.0,CONTROL FEEDBACK,36988.0:2022-06-01 10:33:01.245,1.0,3.0,0,380.13114754098365
16,2022-06-01 10:33:37.824,5.0,CONTROL FEEDBACK,36448.0:2022-06-01 10:33:37.824,0.0,0.0,0,469.4264705882353
17,2022-06-01 10:33:37.824,5.0,CONTROL FEEDBACK,36448.0:2022-06-01 10:33:37.824,0.0,1.0,0,463.0952380952381
18,2022-06-01 10:33:37.824,5.0,CONTROL FEEDBACK,36448.0:2022-06-01 10:33:37.824,0.0,2.0,0,431.7435897435897
19,2022-06-01 10:33:37.824,5.0,CONTROL FEEDBACK,36448.0:2022-06-01 10:33:37.824,0.0,3.0,0,452.92105263157896
20,2022-06-01 10:33:37.824,5.0,CONTROL FEEDBACK,36448.0:2022-06-01 10:33:37.824,1.0,0.0,0,478.5853658536585
21,2022-06-01 10:33:37.824,5.0,CONTROL FEEDBACK,36448.0:2022-06-01 10:33:37.824,1.0,1.0,0,494.1904761904762
22,2022-06-01 10:33:37.824,5.0,CONTROL FEEDBACK,36448.0:2022-06-01 10:33:37.824,1.0,2.0,0,458.4871794871795
