,unique_participant,patch_length,feedback,prior_0_context_0,prior_0_context_1,prior_0_context_2,prior_0_context_3,prior_1_context_0,prior_1_context_1,prior_1_context_2,prior_1_context_3
0,101.0:2022-06-26 17:04:44.689,10.0 Trials,CONTROL FEEDBACK,392.2770491803279,418.8476190476191,424.66818181818184,418.5470588235295,401.905,376.2611111111112,383.59999999999997,398.29339622641487
1,102.0:2022-06-28 20:30:59.639,5.0 Trials,CONTROL FEEDBACK,583.145283018868,538.0054054054054,536.7078947368421,556.7794871794873,567.7439024390245,520.2342105263158,514.2384615384615,512.8067796610168
2,103.0:2022-06-27 22:22:42.724,10.0 Trials,CONTROL FEEDBACK,436.14173228346436,418.91999999999996,408.25555555555553,450.73499999999984,437.1047619047619,446.0909090909092,453.7631578947368,420.3595419847328
3,104.0:2022-06-29 18:48:55.894,5.0 Trials,CONTROL FEEDBACK,527.0388059701493,515.0307692307692,525.3365853658537,517.2124999999999,513.7476190476191,513.4372093023256,495.6358974358974,508.1819444444444
4,106.0:2022-06-30 18:02:37.549,5.0 Trials,CONTROL FEEDBACK,544.7728571428569,533.2264705882355,531.3243902439025,520.7341463414634,546.4425000000001,515.5210526315789,500.7428571428571,468.4972972972972
5,108.0:2022-07-03 09:22:43.094,5.0 Trials,CONTROL FEEDBACK,389.54605263157896,395.33809523809526,397.35952380952386,388.75121951219506,395.06428571428575,403.82500000000016,384.78536585365845,403.22916666666663
6,110.0:2022-07-02 23:02:46.866,5.0 Trials,CONTROL FEEDBACK,407.4926470882353,405.14750017500006,440.2315789473685,417.0051283846154,388.461111138889,388.58055549999995,397.32285742857135,401.62692311538456
7,111.0:2022-06-30 07:21:19.375,10.0 Trials,CONTROL FEEDBACK,460.3388059701491,451.1777777777778,467.8,431.02,445.9047619047619,441.0210526315789,452.9799999999999,451.5358778625952
8,112.0:2022-07-01 00:40:29.798,5.0 Trials,CONTROL FEEDBACK,443.24857142857155,452.8219512195123,448.06511627906974,447.88250000000005,447.40930232558145,443.12051282051283,462.63157894736844,437.46785714285716
9,114.0:2022-07-02 22:38:28.543,5.0 Trials,CONTROL FEEDBACK,373.01486486486476,384.51860465116283,372.6333333333333,364.9024390243902,392.2599999999999,359.4268292682927,366.8023809523808,376.6432432432433
10,115.0:2022-06-30 22:47:04.519,10.0 Trials,CONTROL FEEDBACK,423.75520003200006,446.10588223529413,424.41999985,425.0263159473683,428.62999995000007,389.7473686842106,411.80909072727263,406.5657407500002
11,116.0:2022-06-30 22:33:45.359,5.0 Trials,CONTROL FEEDBACK,399.16818181818167,388.784375,396.66111111111104,384.4388888888889,399.49444444444447,405.8999999999999,389.22926829268306,408.53220338983056
12,117.0:2022-07-02 21:31:09.719,10.0 Trials,CONTROL FEEDBACK,458.85531914893613,445.0000000000001,428.7545454545454,457.93333333333334,448.125,445.3,449.55000000000007,432.126086956522
13,119.0:2022-07-02 14:03:32.182,10.0 Trials,CONTROL FEEDBACK,457.61344537815125,483.125,438.29411764705884,445.05,476.2,449.7368421052632,427.47058823529414,446.5480769230769
14,120.0:2022-07-01 09:02:16.682,5.0 Trials,CONTROL FEEDBACK,455.65555555555545,474.307142857143,474.4878048780487,479.20000000000005,471.3744186046512,466.376923076923,449.0880952380953,464.51645569620274
