patch_length,feedback,prior,context,count,mean,median,std
5.0,CONTROL FEEDBACK,0,0.0,54.0,441.42,426.67,56.64
5.0,CONTROL FEEDBACK,0,1.0,54.0,439.78,426.15,58.36
5.0,CONTROL FEEDBACK,0,2.0,54.0,440.79,428.0,54.71
5.0,CONTROL FEEDBACK,0,3.0,54.0,440.21,425.26,58.16
5.0,CONTROL FEEDBACK,1,0.0,54.0,439.54,427.64,56.09
5.0,CONTROL FEEDBACK,1,1.0,54.0,435.31,420.71,54.73
5.0,CONTROL FEEDBACK,1,2.0,54.0,432.69,430.49,53.33
5.0,CONTROL FEEDBACK,1,3.0,54.0,428.63,417.69,52.19
10.0,CONTROL FEEDBACK,0,0.0,48.0,438.59,434.2,39.36
10.0,CONTROL FEEDBACK,0,1.0,48.0,441.54,443.63,38.79
10.0,CONTROL FEEDBACK,0,2.0,48.0,437.75,433.47,37.79
10.0,CONTROL FEEDBACK,0,3.0,48.0,443.14,438.94,39.03
10.0,CONTROL FEEDBACK,1,0.0,48.0,435.55,437.25,41.73
10.0,CONTROL FEEDBACK,1,1.0,48.0,427.53,432.0,40.74
10.0,CONTROL FEEDBACK,1,2.0,48.0,433.31,430.39,43.15
10.0,CONTROL FEEDBACK,1,3.0,48.0,423.41,423.87,39.97
