,unique_participant,patch_length,feedback,prior_0_context_0,prior_0_context_1,prior_0_context_2,prior_0_context_3,prior_1_context_0,prior_1_context_1,prior_1_context_2,prior_1_context_3
0,1011:2023-04-23 23:34:48.010,10 Trials,CONTROL FEEDBACK,357.9759999999999,353.6,335.58095238095245,338.8950000000001,353.5105263157895,342.775,357.09090909090907,353.9090163934425
1,19606:2022-11-04 11:02:14.110,5 Trials,CONTROL FEEDBACK,442.37941176470594,468.51944444444445,425.51951219512193,456.4243902439024,454.3809523809524,434.37999999999994,453.005,434.68115942029
2,24901:2023-07-10 13:28:24.788,10 Trials,CONTROL FEEDBACK,453.1619047619049,476.79999999999984,465.86818181818177,464.72272727272735,447.7857142857143,441.0952380952381,450.2380952380953,445.5751677852349
3,26776:2022-12-16 13:48:09.508,5 Trials,CONTROL FEEDBACK,413.0657894736842,421.7906976744186,407.1951219512195,422.6666666666667,403.5,407.77272727272725,412.7857142857143,401.07142857142856
4,27043:2023-01-26 20:47:37.342,10 Trials,CONTROL FEEDBACK,418.2245454545455,420.4842105263158,417.4549999999999,412.8285714285714,410.1111111111111,422.4049999999999,406.51,422.19568965517243
5,27508:2022-10-24 13:36:29.009,5 Trials,CONTROL FEEDBACK,504.5962962962966,490.5944444444444,510.22162162162164,491.06764705882364,464.7729729729729,474.21794871794873,523.5055555555556,509.6199999999999
6,29680:2023-03-28 13:33:37.892,5 Trials,CONTROL FEEDBACK,383.2215384615385,382.12142857142857,368.90000000000003,377.18749999999994,389.59024390243906,384.43658536585366,382.99722222222226,378.9072727272727
7,301:2022-07-11 14:16:33.676,10 Trials,CONTROL FEEDBACK,490.6155963302755,515.5650000000002,481.9117647058824,492.0523809523809,508.49000000000007,483.6277777777776,486.7684210526317,510.3627118644069
8,302:2022-07-11 21:45:30.742,5 Trials,CONTROL FEEDBACK,443.6417721518988,444.38604651162797,446.6534883720929,443.14883720930237,452.1707317073171,449.7619047619047,444.51951219512205,452.9375
9,30313:2022-07-18 17:36:08.680,10 Trials,CONTROL FEEDBACK,471.73548387096787,449.7857142857143,471.09499999999997,467.0526315789473,478.8476190476191,438.71578947368425,434.7894736842105,446.1188118811883
10,303:2022-07-11 17:15:37.601,10 Trials,CONTROL FEEDBACK,410.4571428571429,395.0,402.6315789473684,380.05499999999995,417.91578947368424,400.7699999999999,412.6714285714286,407.4026086956523
11,304:2022-07-11 14:38:41.102,5 Trials,CONTROL FEEDBACK,404.3438356164383,416.31666666666655,416.4619047619048,439.00952380952384,411.4627906976743,411.7974358974359,407.5658536585366,423.02535211267605
12,305:2022-07-11 14:19:58.569,10 Trials,CONTROL FEEDBACK,568.1343137254901,553.6388888888887,585.104761904762,619.05,563.1222222222223,581.1999999999999,583.9421052631578,557.681512605042
13,306:2022-07-11 21:33:52.428,5 Trials,CONTROL FEEDBACK,413.60652169565213,419.7432432702702,402.1184209473684,378.57272724242415,414.09189183783775,403.0500000277778,385.34117647058827,396.37500000000006
14,307:2022-07-11 14:43:06.467,10 Trials,CONTROL FEEDBACK,436.6554794520548,433.6333333333332,414.78421052631575,429.2047619047619,443.6045454545454,418.90952380952376,424.70000000000005,421.6125
15,308:2022-07-12 11:39:09.119,5 Trials,CONTROL FEEDBACK,397.13766233766233,374.8790697674418,383.39512195121955,377.22682926829265,384.2780487804877,396.20454545454544,386.53095238095244,377.821794871795
16,31177:2022-08-11 15:35:35.586,10 Trials,CONTROL FEEDBACK,415.5727272727274,422.6526315789473,412.0761904761905,393.91111111111115,399.12105263157883,419.85555555555544,443.1222222222223,414.7124999999999
17,311:2022-07-13 11:30:25.888,10 Trials,CONTROL FEEDBACK,499.29357798165137,508.8235294117647,511.3888888888889,488.70588235294116,490.2105263157895,489.06666666666666,524.6,496.15625
18,312:2022-07-12 20:16:44.428,5 Trials,CONTROL FEEDBACK,363.7481927710842,362.29047619047617,355.6071428571429,354.5883720930232,375.45454545454544,367.98536585365855,364.3500000000001,376.0617283950616
19,313:2022-07-19 19:16:54.069,10 Trials,CONTROL FEEDBACK,414.6805309734515,443.50526315789466,407.2473684210526,407.8833333333333,405.1647058823531,380.54705882352937,400.175,382.47881355932196
20,31489:2023-07-03 19:55:30.415,10 Trials,CONTROL FEEDBACK,357.6991150442475,371.3421052631579,363.90000000000003,360.13333333333327,357.75789473684216,358.9352941176471,371.00499999999994,357.26078431372554
21,314:2022-07-12 21:24:03.582,5 Trials,CONTROL FEEDBACK,380.41923076923075,394.08536585365846,376.4928571428572,398.2439024390243,372.62250000000006,385.28536585365845,376.25500000000005,371.4281690140847
22,315:2022-07-12 23:09:03.124,10 Trials,CONTROL FEEDBACK,379.45620438686154,382.37999994999996,381.5105263157895,384.2300001,378.5649999,366.773684263158,376.4571426666667,380.3000000151518
23,316:2022-07-12 18:22:31.137,5 Trials,CONTROL FEEDBACK,481.1793650793649,445.62439024390255,473.7930232558141,459.1421052631578,460.57000000000005,462.8736842105265,457.9390243902441,458.0935483870967
24,317:2022-07-12 16:25:17.976,10 Trials,CONTROL FEEDBACK,632.3495867768596,627.4250000000001,599.4263157894736,659.4071428571427,642.7809523809525,626.82,635.63,627.2203125000001
25,318:2022-07-12 14:25:15.459,5 Trials,CONTROL FEEDBACK,439.4107142857144,454.1659090909089,439.62045454545455,431.23488372093027,449.9976190476191,430.97749999999996,441.2880952380952,441.3987341772152
26,319:2022-07-12 17:11:40.572,10 Trials,CONTROL FEEDBACK,399.13829787234056,403.06111111111113,383.29473684210524,389.7777777777778,401.12,371.27647058823527,369.16999999999996,388.6212765957447
27,320:2022-07-12 12:43:19.277,5 Trials,CONTROL FEEDBACK,451.7434782608694,438.2325000000001,437.5214285714286,430.95641025641027,463.1452380952381,429.48536585365855,442.07249999999993,435.60144927536226
28,321:2022-07-12 11:32:17.589,10 Trials,CONTROL FEEDBACK,425.7382352941175,427.06363636363625,428.95714285714297,410.305,407.5333333333333,409.147619047619,439.50952380952384,425.81849315068496
29,322:2022-07-12 11:52:20.331,5 Trials,CONTROL FEEDBACK,416.92499999999995,419.89630952380963,430.4084523809523,443.97209302325587,448.46166666666676,441.6029268292683,427.20369047619056,426.1875000000001
30,324:2022-07-25 14:15:33.873,5 Trials,CONTROL FEEDBACK,423.0999999999999,412.3205128205129,415.1513513513514,413.73243243243246,422.8756756756758,415.2307692307692,438.84473684210525,409.26851851851865
31,325:2022-07-12 17:11:20.400,10 Trials,CONTROL FEEDBACK,383.77293233082696,369.28000000000003,382.3238095238096,371.95000000000005,361.43809523809534,376.14736842105253,371.6285714285715,375.37718120805374
32,327:2022-07-12 17:29:01.645,10 Trials,CONTROL FEEDBACK,461.1812949640288,453.59499999999997,462.5400000000001,495.6578947368421,478.79499999999996,453.2857142857143,454.7947368421053,460.31721311475417
33,32869:2022-07-12 09:09:58.373,10 Trials,CONTROL FEEDBACK,434.70087719298255,389.0842105263158,426.98421052631585,404.2857142857143,419.53999999999996,416.0263157894737,419.42631578947373,420.3060344827589
34,329:2022-07-12 17:08:25.802,10 Trials,CONTROL FEEDBACK,439.14786324786314,431.8789473684211,441.74736842105267,471.18571428571425,438.29999999999995,411.12,429.48823529411766,432.7105263157893
35,330:2022-07-18 10:47:55.447,5 Trials,CONTROL FEEDBACK,406.7430555555556,403.8857142857143,411.46904761904756,401.52727272727276,393.77179487179484,405.5475,377.9500000000001,394.24133333333333
36,332:2022-07-13 12:14:06.259,5 Trials,CONTROL FEEDBACK,381.1602564102565,382.04651162790697,370.80238095238104,377.0511627906977,380.63863636363624,366.2285714285714,365.16136363636366,370.11139240506327
37,33301:2022-08-14 16:58:00.907,10 Trials,CONTROL FEEDBACK,442.45357142857176,462.740909090909,428.3714285714285,448.11,457.547619047619,421.68,417.33809523809526,429.60851063829796
38,33322:2023-06-04 21:47:35.266,5 Trials,CONTROL FEEDBACK,392.3013698630137,397.025,394.74318181818177,394.4725,398.3186046511628,377.5285714285714,371.2238095238095,395.39866666666666
39,33355:2023-03-25 17:36:32.684,10 Trials,CONTROL FEEDBACK,401.4591549295774,405.0631578947369,401.72380952380945,412.5761904761905,403.0,376.6809523809524,397.41818181818195,394.74305555555566
40,333:2022-07-12 17:55:42.263,10 Trials,CONTROL FEEDBACK,396.9597014925375,389.3636363636364,412.76190476190476,385.8818181818182,395.3052631578948,402.58000000000004,389.25263157894733,395.49069767441847
41,33463:2022-10-02 21:04:43.306,10 Trials,CONTROL FEEDBACK,515.79,540.6785714285714,499.5312499999999,521.7473684210527,512.0263157894736,504.5450000000001,508.4700000000001,511.62956521739125
42,33574:2022-07-13 13:28:10.375,5 Trials,CONTROL FEEDBACK,367.6666666666667,349.6923076923077,348.02702702702703,339.69767441860466,326.4736842105263,335.28205128205127,331.35897435897436,336.3703703703704
43,33634:2022-08-03 18:33:43.189,5 Trials,CONTROL FEEDBACK,396.39605263157904,409.58048780487815,395.8976190476192,392.37250000000006,392.8724999999999,382.08333333333337,386.38250000000005,400.3657534246574
44,337:2022-07-14 11:25:44.328,10 Trials,CONTROL FEEDBACK,411.7503937007874,403.8238095238096,408.2476190476191,401.35,387.64761904761906,411.0777777777778,427.0368421052631,403.3271186440677
45,33916:2022-11-14 12:48:23.718,5 Trials,CONTROL FEEDBACK,437.40285722857124,424.7149999249999,415.6780486097561,424.3589742564103,425.52499980000005,447.5547619285715,445.6146341463414,420.2380281549297
46,33937:2022-08-02 12:40:09.990,10 Trials,CONTROL FEEDBACK,489.81079136690664,516.4550000000002,483.8,492.27368421052637,484.92105263157896,471.65714285714284,470.2619047619047,481.36388888888877
47,33991:2023-02-27 10:36:02.101,10 Trials,CONTROL FEEDBACK,406.7677966101694,392.9842105263158,461.875,395.69999999999993,392.5,386.49999999999994,382.75,397.5362204724408
48,339:2022-07-17 13:29:25.027,10 Trials,CONTROL FEEDBACK,427.0678321678322,408.66499999999996,431.31499999999994,452.65500000000003,418.2904761904761,425.45,427.87,421.2879999999997
49,340:2022-07-14 11:53:25.773,5 Trials,CONTROL FEEDBACK,417.0722222222223,411.21395348837217,416.9625,410.34634146341466,409.74761904761897,414.43636363636375,423.5761904761905,409.1907894736843
50,342:2022-07-14 22:42:26.310,5 Trials,CONTROL FEEDBACK,398.556164410959,389.1704545454546,396.9136363409091,399.74761902380953,390.01025651282043,395.884999825,401.8073170731708,389.9650000166666
51,34399:2022-11-20 12:32:29.255,10 Trials,CONTROL FEEDBACK,415.78031496062994,440.31428571428575,410.68421052631584,399.1277777777778,403.955,404.1611111111111,398.5761904761905,410.5666666666666
52,343:2022-07-16 20:31:37.374,10 Trials,CONTROL FEEDBACK,434.07479674796735,426.4944444444444,448.4095238095238,449.71111111111105,424.6714285714286,447.390909090909,411.22380952380956,429.2507575757578
53,345:2022-07-14 19:46:22.209,10 Trials,CONTROL FEEDBACK,388.12314049586774,389.08421052631576,391.5136363636364,381.09,381.2578947368421,374.9933333333334,378.165,388.40341880341873
54,346:2022-07-17 12:12:43.537,5 Trials,CONTROL FEEDBACK,385.0760000000001,380.7348837209302,377.2785714285713,377.29285714285714,376.71500000000003,391.16976744186053,372.24186046511625,371.40533333333343
55,34735:2022-09-17 12:41:44.848,10 Trials,CONTROL FEEDBACK,318.40467289719624,315.7764705882353,327.91111111111104,314.09444444444443,321.75714285714287,311.44736842105266,315.7,326.3636363636363
56,347:2022-07-17 19:43:42.771,10 Trials,CONTROL FEEDBACK,441.60287769784156,418.81052631578956,409.20000000000005,415.90999999999997,459.89545454545447,439.5727272727272,442.452380952381,438.751824817518
57,348:2022-07-17 16:48:01.397,5 Trials,CONTROL FEEDBACK,404.19999999999993,410.58139534883736,414.5270270270271,369.24750000000006,399.9441860465116,398.1744186046512,399.45227272727277,404.0526315789474
58,34981:2022-07-24 15:10:30.879,10 Trials,CONTROL FEEDBACK,400.5592857142857,409.40000000000003,408.5,415.03999999999996,409.5,392.8315789473684,408.46999999999997,404.5892086330934
59,349:2022-07-18 16:20:09.479,10 Trials,CONTROL FEEDBACK,362.3843283582087,359.115,373.3999999999999,386.6,365.27500000000003,362.5611111111111,345.7950000000001,358.8046511627905
60,35023:2023-03-07 16:17:52.346,10 Trials,CONTROL FEEDBACK,396.9166666666667,399.7368421052632,383.7142857142857,381.14285714285717,370.63157894736844,415.57142857142856,402.55555555555554,387.7631578947368
61,350:2022-08-13 20:08:57.312,5 Trials,CONTROL FEEDBACK,426.70517241379315,432.9414634146342,416.1948717948718,412.34473684210514,430.75897435897434,445.1868421052631,427.7743589743591,419.07424242424236
62,35107:2022-12-06 15:56:34.622,10 Trials,CONTROL FEEDBACK,405.2475524475525,388.5833333333333,403.7714285714286,422.18,398.22272727272724,411.68500000000006,412.555,410.1879432624114
63,351:2022-07-22 11:35:52.815,10 Trials,CONTROL FEEDBACK,538.9268115942034,524.2149999999999,515.8142857142857,526.8000000000002,538.55,530.1315789473683,526.6899999999999,526.4942028985506
64,35272:2022-07-14 17:17:06.279,5 Trials,CONTROL FEEDBACK,436.1146341463416,444.3414634146341,441.98372093023255,465.2309523809525,421.46046511627895,440.6558139534881,437.739534883721,421.1158536585363
65,352:2022-07-26 20:45:10.176,5 Trials,CONTROL FEEDBACK,469.50399999999996,475.7649999999999,472.4761904761905,463.57804878048785,456.64318181818186,448.63809523809533,451.8181818181819,451.96951219512187
66,35353:2022-07-11 16:16:36.933,10 Trials,CONTROL FEEDBACK,471.5024193548386,472.9,504.3190476190476,494.75789473684216,455.56499999999994,476.1842105263158,472.9111111111112,475.3732758620689
67,353:2022-07-23 22:55:23.638,10 Trials,CONTROL FEEDBACK,411.38854166666664,409.55625,415.7875,412.01000000000005,401.4437500000001,399.0315789473685,390.30588235294124,398.5659793814433
68,35428:2022-08-18 10:29:12.256,5 Trials,CONTROL FEEDBACK,369.12054794520543,377.17948717948707,363.1256410256409,367.846153846154,390.12954545454545,380.87857142857143,384.4441860465117,387.8144736842106
69,35509:2022-08-15 11:28:45.706,10 Trials,CONTROL FEEDBACK,472.89854014598563,476.22380952380956,474.0571428571429,459.08571428571435,467.1388888888889,485.12222222222226,457.31000000000006,470.60634920634914
70,35581:2022-11-26 16:20:44.760,10 Trials,CONTROL FEEDBACK,388.77676056338015,393.6190476190476,388.54090909090917,403.9,390.85555555555555,377.478947368421,401.25714285714287,388.785815602837
71,355:2022-07-22 17:16:34.703,10 Trials,CONTROL FEEDBACK,396.839,392.1777777777778,400.9857142857142,388.6,385.04499999999996,397.94736842105266,375.16,394.2010638297873
72,35602:2022-07-10 20:54:04.340,5 Trials,CONTROL FEEDBACK,427.3545454545455,425.0309523809523,431.65714285714284,433.2523809523809,426.7297297297297,425.76097560975603,427.8146341463414,427.9575342465756
73,356:2022-07-22 23:26:20.023,5 Trials,CONTROL FEEDBACK,475.6830188679245,468.32631578947365,481.4083333333335,476.3083333333333,482.89487179487173,480.0309523809524,474.68648648648644,478.5637931034481
74,35740:2022-09-22 09:35:44.693,5 Trials,CONTROL FEEDBACK,502.8526315789474,511.78249999999997,499.3878048780487,498.91162790697695,492.490243902439,489.5285714285715,491.9720930232558,493.04999999999984
75,357:2022-07-27 17:38:09.943,10 Trials,CONTROL FEEDBACK,376.31386138613874,392.9200000000001,373.3,386.32000000000005,417.0388888888889,412.3764705882353,356.288888888889,386.4712643678161
76,35932:2022-11-01 11:21:45.374,5 Trials,CONTROL FEEDBACK,453.6815384615384,463.0055555555556,456.2947368421053,451.42105263157896,463.2542857142857,437.3769230769231,449.13,450.14444444444445
