patch_length,feedback,prior,context,count,mean,median,std
5,CONTROL FEEDBACK,0.0,0.0,122.0,424.87,418.1,42.11
5,CONTROL FEEDBACK,0.0,1.0,122.0,424.45,419.98,43.82
5,CONTROL FEEDBACK,0.0,2.0,122.0,425.35,418.33,45.37
5,CONTROL FEEDBACK,0.0,3.0,122.0,423.75,421.36,44.27
5,CONTROL FEEDBACK,1.0,0.0,122.0,422.64,419.98,42.78
5,CONTROL FEEDBACK,1.0,1.0,122.0,422.45,422.04,43.53
5,CONTROL FEEDBACK,1.0,2.0,122.0,420.66,418.68,45.75
5,CONTROL FEEDBACK,1.0,3.0,122.0,419.62,416.27,43.71
10,CONTROL FEEDBACK,0.0,0.0,131.0,429.35,417.14,52.68
10,CONTROL FEEDBACK,0.0,1.0,131.0,428.74,419.52,54.11
10,CONTROL FEEDBACK,0.0,2.0,131.0,430.13,417.45,51.86
10,CONTROL FEEDBACK,0.0,3.0,131.0,427.13,412.83,55.76
10,CONTROL FEEDBACK,1.0,0.0,131.0,428.28,414.6,54.64
10,CONTROL FEEDBACK,1.0,1.0,131.0,424.79,415.97,53.78
10,CONTROL FEEDBACK,1.0,2.0,131.0,426.11,417.38,54.17
10,CONTROL FEEDBACK,1.0,3.0,131.0,424.48,414.71,52.01
