,unique_participant,patch_length,feedback,prior_0_context_0,prior_0_context_1,prior_0_context_2,prior_0_context_3,prior_1_context_0,prior_1_context_1,prior_1_context_2,prior_1_context_3
0,1011:2023-04-23 23:34:48.010,10 Trials,CONTROL FEEDBACK,362.4945578231292,348.3407407407408,362.6192307692308,333.47142857142865,353.5105263157895,346.21818181818185,362.3085714285714,351.31588785046716
1,19606:2022-11-04 11:02:14.110,5 Trials,CONTROL FEEDBACK,446.34659090909093,462.43499999999995,444.9040816326529,455.1810810810811,455.10232558139546,434.5487804878047,453.84347826086946,432.32380952380964
2,24901:2023-07-10 13:28:24.788,10 Trials,CONTROL FEEDBACK,452.9793333333336,476.79999999999984,465.86818181818177,464.7166666666667,447.7857142857143,443.840909090909,447.3,446.0083916083916
3,26776:2022-12-16 13:48:09.508,5 Trials,CONTROL FEEDBACK,411.42391304347825,418.1914893617021,422.95348837209303,416.7894736842105,403.5,407.77272727272725,412.35555555555555,400.8358208955224
4,27043:2023-01-26 20:47:37.342,10 Trials,CONTROL FEEDBACK,417.2649253731345,414.95000000000005,410.66428571428565,429.0538461538463,410.1111111111111,421.44583333333327,416.7531914893618,421.7752941176469
5,27508:2022-10-24 13:36:29.009,5 Trials,CONTROL FEEDBACK,499.75185185185177,505.570731707317,510.7027777777778,498.9588235294118,466.1536585365853,476.6473684210527,523.1274999999998,508.63928571428556
6,29680:2023-03-28 13:33:37.892,5 Trials,CONTROL FEEDBACK,381.1615384615385,376.9115384615383,366.95500000000004,372.86585365853665,389.59024390243906,385.0357142857143,384.76829268292687,376.38163265306116
7,301:2022-07-11 14:16:33.676,10 Trials,CONTROL FEEDBACK,497.757777777778,527.7500000000001,480.3884615384616,488.605,508.49000000000007,490.30999999999983,479.9548387096774,516.584761904762
8,302:2022-07-11 21:45:30.742,5 Trials,CONTROL FEEDBACK,443.70344827586206,443.2608695652175,446.30444444444436,445.84285714285716,452.1707317073171,449.7619047619047,442.4826086956523,453.7855263157895
9,30313:2022-07-18 17:36:08.680,10 Trials,CONTROL FEEDBACK,472.41216216216236,492.07199999999995,479.63103448275865,459.01666666666665,478.8476190476191,431.00416666666666,423.2882352941176,463.23939393939395
10,303:2022-07-11 17:15:37.601,10 Trials,CONTROL FEEDBACK,417.41142857142853,415.45,404.1192307692306,410.94800000000004,417.91578947368424,407.02592592592595,410.7333333333334,405.4773809523808
11,304:2022-07-11 14:38:41.102,5 Trials,CONTROL FEEDBACK,408.41724137931027,420.1999999999999,433.7770833333334,430.65789473684214,413.8613636363636,411.995,414.1869565217392,419.58181818181816
12,305:2022-07-11 14:19:58.569,10 Trials,CONTROL FEEDBACK,577.2302325581393,566.0888888888888,617.3950000000001,599.2888888888889,563.3263157894737,586.2428571428572,581.8029411764705,553.4107843137256
13,306:2022-07-11 21:33:52.428,5 Trials,CONTROL FEEDBACK,414.45568185227296,418.1938775510205,403.0229166041667,401.7785713571428,414.09189183783775,403.0500000277778,388.81276604255316,393.1055554722222
14,307:2022-07-11 14:43:06.467,10 Trials,CONTROL FEEDBACK,436.5359477124183,446.43636363636347,412.41499999999996,445.2173913043478,443.6045454545454,418.90952380952376,440.90967741935486,417.68444444444447
15,308:2022-07-12 11:39:09.119,5 Trials,CONTROL FEEDBACK,396.3302325581395,383.769387755102,383.0560975609756,380.50975609756097,384.2780487804877,396.20454545454544,381.96382978723403,380.1657534246577
16,31177:2022-08-11 15:35:35.586,10 Trials,CONTROL FEEDBACK,416.3069930069931,430.06250000000006,407.5222222222222,395.38750000000005,399.12105263157883,422.790909090909,423.23829787234035,414.53295454545446
17,311:2022-07-13 11:30:25.888,10 Trials,CONTROL FEEDBACK,509.51408450704224,516.8695652173913,505.1212121212121,510.125,490.2105263157895,501.3157894736842,508.12068965517244,490.05555555555554
18,312:2022-07-12 20:16:44.428,5 Trials,CONTROL FEEDBACK,364.74827586206885,365.84888888888884,354.5583333333334,357.05999999999995,375.45454545454544,367.98536585365855,363.65319148936175,377.2631578947367
19,313:2022-07-19 19:16:54.069,10 Trials,CONTROL FEEDBACK,414.3402877697845,409.76538461538473,429.2923076923076,407.909090909091,405.1647058823531,393.73636363636365,385.44090909090903,383.6868131868131
20,31489:2023-07-03 19:55:30.415,10 Trials,CONTROL FEEDBACK,361.286111111111,363.3363636363636,383.51379310344834,363.7074074074074,357.75789473684216,353.4047619047619,367.2425925925926,354.5800000000001
21,314:2022-07-12 21:24:03.582,5 Trials,CONTROL FEEDBACK,382.756179775281,401.65510204081636,381.2767441860465,399.0374999999999,372.62250000000006,389.03095238095233,372.14042553191496,374.1406250000001
22,315:2022-07-12 23:09:03.124,10 Trials,CONTROL FEEDBACK,387.8947368552634,375.8318181363636,393.81200003999993,394.02272745454553,378.5649999,368.357142904762,379.23421036842115,379.8893805663717
23,316:2022-07-12 18:22:31.137,5 Trials,CONTROL FEEDBACK,473.0561797752807,460.1021739130436,466.56000000000006,459.4264705882353,460.57000000000005,461.73076923076934,457.0955555555556,459.4684210526316
24,317:2022-07-12 16:25:17.976,10 Trials,CONTROL FEEDBACK,631.8423076923077,613.3428571428573,607.9090909090909,658.33125,642.7809523809525,630.7882352941176,651.2,621.3798245614037
25,318:2022-07-12 14:25:15.459,5 Trials,CONTROL FEEDBACK,439.54318181818184,453.66739130434775,441.2958333333332,427.9926829268293,449.9976190476191,432.0341463414634,446.87234042553183,437.55866666666657
26,319:2022-07-12 17:11:40.572,10 Trials,CONTROL FEEDBACK,396.9624060150376,417.4740740740741,413.1735294117647,406.78235294117644,401.12,375.04615384615374,390.8186046511628,381.75967741935483
27,320:2022-07-12 12:43:19.277,5 Trials,CONTROL FEEDBACK,466.2428571428571,457.29799999999994,444.04761904761915,432.2894736842105,463.1452380952381,426.56666666666666,445.79534883720925,434.82
28,321:2022-07-12 11:32:17.589,10 Trials,CONTROL FEEDBACK,427.98783783783773,428.89545454545447,416.21363636363645,413.91904761904766,407.5333333333333,409.147619047619,440.13846153846157,425.16760563380285
29,322:2022-07-12 11:52:20.331,5 Trials,CONTROL FEEDBACK,423.84321428571405,425.3438636363637,435.4770454545456,447.19988095238097,448.46166666666676,441.6029268292683,431.94555555555553,423.81695945945955
30,324:2022-07-25 14:15:33.873,5 Trials,CONTROL FEEDBACK,418.9616279069769,421.0479999999999,419.32083333333344,411.571875,418.3307692307693,419.6081081081081,428.33673469387764,413.6767441860466
31,325:2022-07-12 17:11:20.400,10 Trials,CONTROL FEEDBACK,388.33496503496485,370.8333333333333,388.9521739130436,376.0695652173913,361.43809523809534,376.14736842105253,369.4566666666666,376.85070422535216
32,327:2022-07-12 17:29:01.645,10 Trials,CONTROL FEEDBACK,463.7717105263157,450.5692307692308,479.61739130434785,481.61200000000014,478.79499999999996,456.24074074074065,460.64772727272725,458.5912087912088
33,32869:2022-07-12 09:09:58.373,10 Trials,CONTROL FEEDBACK,435.17943262411336,409.7476190476191,426.35000000000014,428.65333333333336,419.53999999999996,416.0263157894737,422.1124999999999,418.9150000000001
34,329:2022-07-12 17:08:25.802,10 Trials,CONTROL FEEDBACK,441.33146853146854,452.58965517241376,483.46666666666675,483.09999999999985,438.29999999999995,431.01851851851853,432.8340425531915,426.92033898305084
35,330:2022-07-18 10:47:55.447,5 Trials,CONTROL FEEDBACK,406.87831325301227,408.65000000000003,413.4553191489362,395.77317073170724,393.77179487179484,405.41951219512185,384.28749999999997,391.0449275362318
36,332:2022-07-13 12:14:06.259,5 Trials,CONTROL FEEDBACK,382.80113636363643,380.4139534883721,372.7739130434784,375.9414634146341,380.63863636363624,366.2285714285714,365.5244444444444,369.96538461538455
