patch_length,feedback,prior,context,count,mean,median,std
5,CONTROL FEEDBACK,0,0.0,122.0,427.58,423.67,42.66
5,CONTROL FEEDBACK,0,1.0,122.0,428.12,422.3,44.05
5,CONTROL FEEDBACK,0,2.0,122.0,428.46,421.96,45.93
5,CONTROL FEEDBACK,0,3.0,122.0,424.95,421.33,44.83
5,CONTROL FEEDBACK,1,0.0,122.0,422.84,418.27,42.85
5,CONTROL FEEDBACK,1,1.0,122.0,422.56,421.99,43.65
5,CONTROL FEEDBACK,1,2.0,122.0,421.09,418.2,45.58
5,CONTROL FEEDBACK,1,3.0,122.0,419.13,415.2,43.4
10,CONTROL FEEDBACK,0,0.0,131.0,431.53,418.22,52.69
10,CONTROL FEEDBACK,0,1.0,131.0,431.61,421.44,53.1
10,CONTROL FEEDBACK,0,2.0,131.0,433.87,418.04,52.53
10,CONTROL FEEDBACK,0,3.0,131.0,433.31,416.48,54.88
10,CONTROL FEEDBACK,1,0.0,131.0,428.57,413.89,55.04
10,CONTROL FEEDBACK,1,1.0,131.0,426.13,417.44,54.21
10,CONTROL FEEDBACK,1,2.0,131.0,427.91,421.73,53.5
10,CONTROL FEEDBACK,1,3.0,131.0,423.52,415.12,52.15
