,unique_participant,patch_length,feedback,prior_0_context_0,prior_0_context_1,prior_0_context_2,prior_0_context_3,prior_1_context_0,prior_1_context_1,prior_1_context_2,prior_1_context_3
0,10:2019_May_06_1648,5 Trials,CONTROL FEEDBACK,379.39814814813883,380.4761904762572,385.41666666666674,395.05208333328113,391.9047619048,364.52380952385727,378.7878787877879,389.52991452994877
1,11:2019_May_07_1021,10 Trials,CONTROL FEEDBACK,426.8627450980001,428.33333333325,437.9166666667,404.41176470594115,408.8235294117647,439.4444444444,430.729166666625,424.8931623931667
2,11:2019_May_13_1217,10 Trials,CONTROL FEEDBACK,436.22112211223754,460.4166666666,457.19696969700004,447.80701754389474,443.5185185186666,445.5882352941176,443.45238095228575,461.30136986299993
3,12:2019_May_07_1027,5 Trials,CONTROL FEEDBACK,438.5714285713713,424.99999999993537,427.77777777779494,416.3888888888998,418.3908045976552,452.5462962963056,446.1111111110999,434.5679012345555
4,13:2019_May_07_1459,10 Trials,CONTROL FEEDBACK,391.43518518520824,410.119047619,407.1428571427858,391.11111111120005,397.5490196079412,396.59090909090907,385.4166666666,400.0
5,14:2019_May_07_1555,5 Trials,CONTROL FEEDBACK,410.55555555553326,410.91954022986204,410.8333333333,428.1609195401379,400.00000000009675,416.4285714285714,407.1839080460345,383.99999999996
6,15:2019_May_07_1620,10 Trials,CONTROL FEEDBACK,467.77108433731325,482.01754385968417,482.1428571428095,479.6296296295,456.37254901964707,455.7291666666875,439.58333333325004,467.1794871795231
7,16:2019_May_07_1628,5 Trials,CONTROL FEEDBACK,480.08130081299987,481.9819819820271,487.83783783789204,487.121212121212,495.83333333332354,488.8157894736842,492.424242424212,481.9444444444524
8,17:2019_May_07_1649,10 Trials,CONTROL FEEDBACK,434.0909090909193,443.2539682540477,443.65079365080953,441.20370370355556,436.7647058823529,415.68627450958826,446.42857142850005,419.9999999999999
9,18:2019_May_07_1708,5 Trials,CONTROL FEEDBACK,440.31531531527014,439.24731182793533,456.9047619047429,474.193548387129,451.1904761905357,438.33333333334275,438.3838383838484,447.77777777776663
10,19:2019_May_07_1726,10 Trials,CONTROL FEEDBACK,388.8497652582394,396.4285714284286,371.11111111100007,372.22222222222223,368.9814814813889,363.5964912280526,357.93650793647623,372.7040816326836
11,19:2019_May_12_1114,10 Trials,CONTROL FEEDBACK,414.6367521367565,384.72222222216664,384.2105263157895,412.82051282046154,427.77777777777777,406.5789473684211,423.3333333333333,397.5000000000111
12,1:2019_May_01_1110,10 Trials,CONTROL FEEDBACK,410.77777777776004,410.18518518516663,420.2380952381428,407.2222222222666,401.3157894736316,401.9841269841904,398.75000000004997,401.228070175421
13,20:2019_May_12_1139,5 Trials,CONTROL FEEDBACK,433.33333333323077,436.45833333337504,440.3153153153243,441.3888888889333,440.77380952374995,450.50505050503034,440.0537634407741,425.34722222224997
14,21:2019_May_12_1211,10 Trials,CONTROL FEEDBACK,418.30808080806065,404.90196078429415,418.8888888888667,425.00000000013335,433.3333333333529,398.6111111111666,415.6862745097059,414.17748917748054
15,23:2019_May_12_1751,10 Trials,CONTROL FEEDBACK,417.1171171171352,416.07142857142856,421.0784313725882,396.0784313725294,394.6078431372941,406.06060606054547,423.9583333333125,409.6774193548386
