,date,patch_length,feedback,unique_participant,prior,context,feedback_manipulation_type,RT
0,2019-05-01 11:10:00,10,CONTROL FEEDBACK,1:2019_May_01_1110,0,0.0,1,416.8840579709827
1,2019-05-01 11:10:00,10,CONTROL FEEDBACK,1:2019_May_01_1110,0,1.0,1,424.6527777778333
2,2019-05-01 11:10:00,10,CONTROL FEEDBACK,1:2019_May_01_1110,0,2.0,1,423.85057471268976
3,2019-05-01 11:10:00,10,CONTROL FEEDBACK,1:2019_May_01_1110,0,3.0,1,412.33333333332007
4,2019-05-01 11:10:00,10,CONTROL FEEDBACK,1:2019_May_01_1110,1,0.0,1,402.2727272726818
5,2019-05-01 11:10:00,10,CONTROL FEEDBACK,1:2019_May_01_1110,1,1.0,1,397.1153846154615
6,2019-05-01 11:10:00,10,CONTROL FEEDBACK,1:2019_May_01_1110,1,2.0,1,401.41843971631914
7,2019-05-01 11:10:00,10,CONTROL FEEDBACK,1:2019_May_01_1110,1,3.0,1,401.9444444444168
8,2019-05-01 13:24:00,5,CONTROL FEEDBACK,2:2019_May_01_1324,0,0.0,1,471.8495934959025
9,2019-05-01 13:24:00,5,CONTROL FEEDBACK,2:2019_May_01_1324,0,1.0,1,476.72955974839624
10,2019-05-01 13:24:00,5,CONTROL FEEDBACK,2:2019_May_01_1324,0,2.0,1,482.2916666666042
11,2019-05-01 13:24:00,5,CONTROL FEEDBACK,2:2019_May_01_1324,0,3.0,1,469.66666666672006
12,2019-05-01 13:24:00,5,CONTROL FEEDBACK,2:2019_May_01_1324,1,0.0,1,466.24999999995
13,2019-05-01 13:24:00,5,CONTROL FEEDBACK,2:2019_May_01_1324,1,1.0,1,448.95833333335
14,2019-05-01 13:24:00,5,CONTROL FEEDBACK,2:2019_May_01_1324,1,2.0,1,460.4166666666249
15,2019-05-01 13:24:00,5,CONTROL FEEDBACK,2:2019_May_01_1324,1,3.0,1,465.090090090081
16,2019-05-01 15:23:00,10,CONTROL FEEDBACK,3:2019_May_01_1523,0,0.0,1,471.93732193729915
17,2019-05-01 15:23:00,10,CONTROL FEEDBACK,3:2019_May_01_1523,0,1.0,1,464.99999999999994
18,2019-05-01 15:23:00,10,CONTROL FEEDBACK,3:2019_May_01_1523,0,2.0,1,499.9999999999655
