patch_length,feedback,prior,context,count,mean,median,std
5,CONTROL FEEDBACK,0,0.0,37.0,453.92,456.32,44.08
5,CONTROL FEEDBACK,0,1.0,37.0,455.56,455.85,42.54
5,CONTROL FEEDBACK,0,2.0,37.0,456.11,461.48,40.23
5,CONTROL FEEDBACK,0,3.0,37.0,454.63,461.61,39.63
5,CONTROL FEEDBACK,1,0.0,37.0,447.77,445.72,44.03
5,CONTROL FEEDBACK,1,1.0,37.0,443.81,448.96,43.99
5,CONTROL FEEDBACK,1,2.0,37.0,442.59,446.9,44.46
5,CONTROL FEEDBACK,1,3.0,37.0,439.39,438.27,41.39
10,CONTROL FEEDBACK,0,0.0,41.0,451.87,455.4,32.94
10,CONTROL FEEDBACK,0,1.0,41.0,451.3,456.44,38.06
10,CONTROL FEEDBACK,0,2.0,41.0,458.04,459.72,36.22
10,CONTROL FEEDBACK,0,3.0,41.0,460.43,466.67,34.47
10,CONTROL FEEDBACK,1,0.0,41.0,444.17,448.02,34.71
10,CONTROL FEEDBACK,1,1.0,41.0,442.67,450.35,37.41
10,CONTROL FEEDBACK,1,2.0,41.0,442.58,451.7,33.47
10,CONTROL FEEDBACK,1,3.0,41.0,433.03,437.82,32.5
