patch_length,feedback,prior,context,count,mean,median,std
5,CONTROL FEEDBACK,0.0,0.0,48.0,466.22,456.1,60.48
5,CONTROL FEEDBACK,0.0,1.0,48.0,469.69,467.64,66.75
5,CONTROL FEEDBACK,0.0,2.0,48.0,472.51,462.15,62.29
5,CONTROL FEEDBACK,0.0,3.0,48.0,472.85,454.73,69.91
5,CONTROL FEEDBACK,1.0,0.0,48.0,472.12,460.58,68.02
5,CONTROL FEEDBACK,1.0,1.0,48.0,472.18,456.0,64.9
5,CONTROL FEEDBACK,1.0,2.0,48.0,469.62,460.07,63.68
5,CONTROL FEEDBACK,1.0,3.0,48.0,463.33,450.36,63.75
10,CONTROL FEEDBACK,0.0,0.0,49.0,477.58,462.11,75.07
10,CONTROL FEEDBACK,0.0,1.0,49.0,478.38,462.7,80.04
10,CONTROL FEEDBACK,0.0,2.0,49.0,480.21,460.27,79.59
10,CONTROL FEEDBACK,0.0,3.0,49.0,477.55,454.93,75.58
10,CONTROL FEEDBACK,1.0,0.0,49.0,481.56,467.91,76.48
10,CONTROL FEEDBACK,1.0,1.0,49.0,478.69,455.58,75.64
10,CONTROL FEEDBACK,1.0,2.0,49.0,474.19,457.33,73.07
10,CONTROL FEEDBACK,1.0,3.0,49.0,471.39,456.55,73.26
