,date,patch_length,feedback,unique_participant,prior,context,feedback_manipulation_type,RT
0,2020-10-01_12h07.35.084,5,CONTROL FEEDBACK,1:2020-10-01_12h07.35.084,0,0.0,1,449.3571363636366
1,2020-10-01_12h07.35.084,5,CONTROL FEEDBACK,1:2020-10-01_12h07.35.084,0,1.0,1,461.55977272727245
2,2020-10-01_12h07.35.084,5,CONTROL FEEDBACK,1:2020-10-01_12h07.35.084,0,2.0,1,474.9450714285714
3,2020-10-01_12h07.35.084,5,CONTROL FEEDBACK,1:2020-10-01_12h07.35.084,0,3.0,1,458.11926829268293
4,2020-10-01_12h07.35.084,5,CONTROL FEEDBACK,1:2020-10-01_12h07.35.084,1,0.0,1,444.37139344262306
5,2020-10-01_12h07.35.084,5,CONTROL FEEDBACK,1:2020-10-01_12h07.35.084,1,1.0,1,445.9107627118646
6,2020-10-01_12h07.35.084,5,CONTROL FEEDBACK,1:2020-10-01_12h07.35.084,1,2.0,1,448.3841
7,2020-10-01_12h07.35.084,5,CONTROL FEEDBACK,1:2020-10-01_12h07.35.084,1,3.0,1,460.8103333333334
8,2020-10-01_13h07.53.086,10,CONTROL FEEDBACK,2:2020-10-01_13h07.53.086,0,0.0,1,477.6583701657457
9,2020-10-01_13h07.53.086,10,CONTROL FEEDBACK,2:2020-10-01_13h07.53.086,0,1.0,1,483.4196938775511
10,2020-10-01_13h07.53.086,10,CONTROL FEEDBACK,2:2020-10-01_13h07.53.086,0,2.0,1,519.0319444444444
11,2020-10-01_13h07.53.086,10,CONTROL FEEDBACK,2:2020-10-01_13h07.53.086,0,3.0,1,498.90859375
12,2020-10-01_13h07.53.086,10,CONTROL FEEDBACK,2:2020-10-01_13h07.53.086,1,0.0,1,470.614393939394
13,2020-10-01_13h07.53.086,10,CONTROL FEEDBACK,2:2020-10-01_13h07.53.086,1,1.0,1,475.69999999999993
14,2020-10-01_13h07.53.086,10,CONTROL FEEDBACK,2:2020-10-01_13h07.53.086,1,2.0,1,463.7412857142857
15,2020-10-01_13h07.53.086,10,CONTROL FEEDBACK,2:2020-10-01_13h07.53.086,1,3.0,1,466.524140625
16,2020-10-01_15h25.01.451,5,CONTROL FEEDBACK,4:2020-10-01_15h25.01.451,0,0.0,1,422.8952118644068
17,2020-10-01_15h25.01.451,5,CONTROL FEEDBACK,4:2020-10-01_15h25.01.451,0,1.0,1,449.33676767676803
18,2020-10-01_15h25.01.451,5,CONTROL FEEDBACK,4:2020-10-01_15h25.01.451,0,2.0,1,431.8816666666668
19,2020-10-01_15h25.01.451,5,CONTROL FEEDBACK,4:2020-10-01_15h25.01.451,0,3.0,1,421.27796296296304
20,2020-10-01_15h25.01.451,5,CONTROL FEEDBACK,4:2020-10-01_15h25.01.451,1,0.0,1,413.07169491525417
21,2020-10-01_15h25.01.451,5,CONTROL FEEDBACK,4:2020-10-01_15h25.01.451,1,1.0,1,418.85907407407416
22,2020-10-01_15h25.01.451,5,CONTROL FEEDBACK,4:2020-10-01_15h25.01.451,1,2.0,1,413.140641025641
23,2020-10-01_15h25.01.451,5,CONTROL FEEDBACK,4:2020-10-01_15h25.01.451,1,3.0,1,396.26909090909095
24,2020-10-01_18h03.52.357,10,CONTROL FEEDBACK,5:2020-10-01_18h03.52.357,0,0.0,1,471.37901595744665
25,2020-10-01_18h03.52.357,10,CONTROL FEEDBACK,5:2020-10-01_18h03.52.357,0,1.0,1,459.19772727272726
26,2020-10-01_18h03.52.357,10,CONTROL FEEDBACK,5:2020-10-01_18h03.52.357,0,2.0,1,474.5980392156863
27,2020-10-01_18h03.52.357,10,CONTROL FEEDBACK,5:2020-10-01_18h03.52.357,0,3.0,1,513.8269696969696
28,2020-10-01_18h03.52.357,10,CONTROL FEEDBACK,5:2020-10-01_18h03.52.357,1,0.0,1,467.3233333333333
