,unique_participant,patch_length,feedback,prior_0_context_0,prior_0_context_1,prior_0_context_2,prior_0_context_3,prior_1_context_0,prior_1_context_1,prior_1_context_2,prior_1_context_3
0,100:2020-12-02_14h17.23.885,5 Trials,CONTROL FEEDBACK,514.9283189655173,521.606726190476,525.0480833333331,545.4917567567569,500.10016129032266,501.4415178571426,524.2241346153845,491.0727777777778
1,102:2020-12-03_13h59.20.226,5 Trials,CONTROL FEEDBACK,533.7765983606557,549.1984302325582,532.7764615384615,540.295294117647,537.8611607142856,526.7459649122808,501.10714285714283,521.5605128205127
2,105:2020-12-10_14h23.12.603,5 Trials,CONTROL FEEDBACK,488.990588235294,499.597906976744,468.0153424657532,462.50209677419343,467.71181034482765,454.25719298245605,458.8565909090908,440.08381578947365
3,106:2020-12-10_15h05.21.433,5 Trials,CONTROL FEEDBACK,441.23270270270274,430.9295652173914,422.49621212121207,417.99499999999995,412.9918644067795,377.8861764705882,394.54031249999997,398.045138888889
4,10:2020-10-08_17h21.02.840,10 Trials,CONTROL FEEDBACK,451.1935555555558,456.97999999999996,438.6483333333334,460.7346551724138,456.5723529411766,442.9285000000001,435.4716346153848,429.4237096774195
5,11:2020-10-08_16h17.54.670,10 Trials,CONTROL FEEDBACK,811.7094886363634,825.4638157894736,844.706956521739,869.7578787878788,751.268125,774.1267500000001,742.4607936507939,723.8837500000002
6,12:2020-10-08_17h58.30.309,5 Trials,CONTROL FEEDBACK,420.5452380952382,414.5832777777778,416.9734666666667,407.7848571428572,407.9645901639345,406.3327499999999,415.7743269230768,401.53451923076926
7,13:2020-10-15_12h18.14.313,5 Trials,CONTROL FEEDBACK,402.83290598290586,403.01263440860225,394.1203424657535,385.3895714285714,379.9032786885245,388.1364035087719,396.40479166666665,384.9836363636364
8,14:2020-10-15_13h08.51.393,10 Trials,CONTROL FEEDBACK,433.6624594594594,453.1665,435.53382978723414,444.0854838709678,402.1254545454545,412.7389999999999,416.3561904761904,407.14462365591396
9,16:2020-10-20_16h38.24.377,10 Trials,CONTROL FEEDBACK,440.74142076502727,435.51647058823545,453.1354444444444,442.1988333333333,411.711724137931,398.715303030303,410.85500000000013,417.285576923077
10,17:2020-10-20_17h21.05.222,10 Trials,CONTROL FEEDBACK,415.37254901960785,442.06,413.74468085106383,418.2916666666667,399.3235294117647,401.780487804878,390.07142857142856,400.5151515151515
11,18:2020-10-20_18h03.22.585,5 Trials,CONTROL FEEDBACK,343.36643518518525,346.87936781609193,338.16077922077915,343.7302564102565,337.2791129032259,350.25073770491804,340.207037037037,334.1025
12,19:2020-10-22_12h47.00.135,5 Trials,CONTROL FEEDBACK,521.2167672413793,527.927268041237,549.0669718309858,505.4145945945946,515.7769827586208,514.1963636363636,502.6928125000001,498.29523255813945
13,1:2020-10-01_12h07.35.084,5 Trials,CONTROL FEEDBACK,449.3571363636366,461.55977272727245,474.9450714285714,458.11926829268293,444.37139344262306,445.9107627118646,448.3841,460.8103333333334
14,20:2020-10-22_13h33.01.867,5 Trials,CONTROL FEEDBACK,570.1317372881356,580.6495544554458,579.0207857142856,589.1513513513513,554.7215909090908,563.2528813559321,562.8401063829787,541.7102083333333
15,21:2020-10-22_15h37.18.555,5 Trials,CONTROL FEEDBACK,443.45803846153837,453.4073118279572,447.7032857142856,445.87589285714284,439.7943859649121,441.74351063829795,454.105625,424.7266
16,22:2020-10-27_12h40.56.948,5 Trials,CONTROL FEEDBACK,595.7316814159293,570.4915789473683,591.9835526315792,554.6243103448277,567.4511475409837,567.9616666666668,599.4512765957446,546.1402439024391
17,23:2020-10-27_13h37.14.646,5 Trials,CONTROL FEEDBACK,544.1517521367521,530.5088953488373,524.1754109589041,540.0679729729732,541.6109016393441,531.2399107142858,506.5719000000001,496.7643421052631
18,24:2020-10-29_12h06.58.628,10 Trials,CONTROL FEEDBACK,537.5478074866312,548.0110465116279,507.9617777777777,573.5578333333332,559.3446774193548,552.4190789473685,520.4695762711865,521.6934337349397
19,25:2020-10-29_13h03.35.527,10 Trials,CONTROL FEEDBACK,443.9318378378381,469.2961,439.6708695652174,462.8221666666667,414.29862068965525,410.2967948717949,418.454275362319,396.6924468085107
20,26:2020-10-29_14h07.25.406,10 Trials,CONTROL FEEDBACK,399.67289893617016,412.22941176470596,415.5913953488371,414.505,396.45224137931035,373.77347222222215,384.07548387096773,374.98999999999995
21,27:2020-10-29_15h03.35.042,10 Trials,CONTROL FEEDBACK,516.3205053191488,529.7407500000002,546.1633333333334,538.5064285714284,513.3842424242424,505.3781395348837,488.0981764705883,481.17918032786906
22,28:2020-10-29_07h04.15.462,10 Trials,CONTROL FEEDBACK,474.61005102040804,476.56489795918367,461.0372619047618,493.5260294117647,432.8601724137932,434.4524358974359,452.60592857142854,421.2078301886792
23,29:2020-10-29_17h14.36.014,10 Trials,CONTROL FEEDBACK,425.20526315789476,438.1090909090909,444.44897959183675,435.1111111111111,423.37931034482756,437.675,406.3090909090909,414.72058823529414
24,2:2020-10-01_13h07.53.086,10 Trials,CONTROL FEEDBACK,477.6583701657457,483.4196938775511,519.0319444444444,498.90859375,470.614393939394,475.69999999999993,463.7412857142857,466.524140625
25,30:2020-11-01_11h08.10.724,10 Trials,CONTROL FEEDBACK,428.9068518518521,431.868152173913,442.19870689655164,423.55288461538464,432.5912499999999,414.3826923076923,415.4905084745764,390.0873728813559
26,31:2020-11-01_12h03.22.246,5 Trials,CONTROL FEEDBACK,461.47499999999997,453.2484146341464,439.3129729729728,447.0462499999999,458.08241666666675,454.5922950819672,442.7639795918367,440.95952830188673
27,32:2020-11-02_12h05.36.107,10 Trials,CONTROL FEEDBACK,588.9455851063827,576.8673913043476,595.9716279069767,609.8731428571429,559.0431818181818,560.0867948717948,549.8271126760565,551.8055813953489
28,33:2020-11-02_14h59.44.991,5 Trials,CONTROL FEEDBACK,490.9238095238095,486.65060240963857,486.0975609756098,504.72222222222223,472.3968253968254,474.9,472.9433962264151,482.35849056603774
29,34:2020-11-03_12h03.29.982,5 Trials,CONTROL FEEDBACK,419.7355357142856,421.14612903225805,416.5251898734176,427.4043939393939,402.9146774193548,401.8706140350876,411.8544186046512,394.5352564102565
30,35:2020-11-03_13h01.48.728,10 Trials,CONTROL FEEDBACK,470.65994791666685,499.3806818181819,507.97481132075455,530.6891379310346,465.73728571428563,465.2518604651163,468.6822307692308,436.1066101694916
