patch_length,feedback,prior,context,count,mean,median,std
5,CONTROL FEEDBACK,0.0,0.0,96.0,426.82,420.64,42.43
5,CONTROL FEEDBACK,0.0,1.0,96.0,426.92,424.87,44.25
5,CONTROL FEEDBACK,0.0,2.0,96.0,426.93,420.6,45.54
5,CONTROL FEEDBACK,0.0,3.0,96.0,425.7,425.07,44.97
5,CONTROL FEEDBACK,1.0,0.0,96.0,424.31,422.1,44.05
5,CONTROL FEEDBACK,1.0,1.0,96.0,424.93,424.88,43.61
5,CONTROL FEEDBACK,1.0,2.0,96.0,423.54,423.23,47.04
5,CONTROL FEEDBACK,1.0,3.0,96.0,421.32,418.11,44.19
10,CONTROL FEEDBACK,0.0,0.0,90.0,433.71,430.55,55.72
10,CONTROL FEEDBACK,0.0,1.0,90.0,433.22,426.78,56.57
10,CONTROL FEEDBACK,0.0,2.0,90.0,433.73,426.73,53.01
10,CONTROL FEEDBACK,0.0,3.0,90.0,432.19,423.19,58.36
10,CONTROL FEEDBACK,1.0,0.0,90.0,431.55,418.92,56.77
10,CONTROL FEEDBACK,1.0,1.0,90.0,427.33,419.38,55.6
10,CONTROL FEEDBACK,1.0,2.0,90.0,429.76,427.45,56.96
10,CONTROL FEEDBACK,1.0,3.0,90.0,428.29,421.45,54.33
