,date,patch_length,feedback,unique_participant,prior,context,feedback_manipulation_type,RT
0,2022-07-10 20:54:04.340,5,CONTROL FEEDBACK,35602:2022-07-10 20:54:04.340,0,0.0,1,426.0022988505747
1,2022-07-10 20:54:04.340,5,CONTROL FEEDBACK,35602:2022-07-10 20:54:04.340,0,1.0,1,427.59374999999983
2,2022-07-10 20:54:04.340,5,CONTROL FEEDBACK,35602:2022-07-10 20:54:04.340,0,2.0,1,433.19318181818176
3,2022-07-10 20:54:04.340,5,CONTROL FEEDBACK,35602:2022-07-10 20:54:04.340,0,3.0,1,430.1878048780488
4,2022-07-10 20:54:04.340,5,CONTROL FEEDBACK,35602:2022-07-10 20:54:04.340,1,0.0,1,428.7184210526315
5,2022-07-10 20:54:04.340,5,CONTROL FEEDBACK,35602:2022-07-10 20:54:04.340,1,1.0,1,425.64285714285705
6,2022-07-10 20:54:04.340,5,CONTROL FEEDBACK,35602:2022-07-10 20:54:04.340,1,2.0,1,422.6777777777778
7,2022-07-10 20:54:04.340,5,CONTROL FEEDBACK,35602:2022-07-10 20:54:04.340,1,3.0,1,429.6867647058826
8,2022-07-11 14:16:33.676,10,CONTROL FEEDBACK,301:2022-07-11 14:16:33.676,0,0.0,1,497.757777777778
9,2022-07-11 14:16:33.676,10,CONTROL FEEDBACK,301:2022-07-11 14:16:33.676,0,1.0,1,527.7500000000001
10,2022-07-11 14:16:33.676,10,CONTROL FEEDBACK,301:2022-07-11 14:16:33.676,0,2.0,1,480.3884615384616
11,2022-07-11 14:16:33.676,10,CONTROL FEEDBACK,301:2022-07-11 14:16:33.676,0,3.0,1,488.605
12,2022-07-11 14:16:33.676,10,CONTROL FEEDBACK,301:2022-07-11 14:16:33.676,1,0.0,1,508.49000000000007
13,2022-07-11 14:16:33.676,10,CONTROL FEEDBACK,301:2022-07-11 14:16:33.676,1,1.0,1,490.30999999999983
14,2022-07-11 14:16:33.676,10,CONTROL FEEDBACK,301:2022-07-11 14:16:33.676,1,2.0,1,479.9548387096774
15,2022-07-11 14:16:33.676,10,CONTROL FEEDBACK,301:2022-07-11 14:16:33.676,1,3.0,1,516.584761904762
16,2022-07-11 14:19:58.569,10,CONTROL FEEDBACK,305:2022-07-11 14:19:58.569,0,0.0,1,577.2302325581393
17,2022-07-11 14:19:58.569,10,CONTROL FEEDBACK,305:2022-07-11 14:19:58.569,0,1.0,1,566.0888888888888
18,2022-07-11 14:19:58.569,10,CONTROL FEEDBACK,305:2022-07-11 14:19:58.569,0,2.0,1,617.3950000000002
19,2022-07-11 14:19:58.569,10,CONTROL FEEDBACK,305:2022-07-11 14:19:58.569,0,3.0,1,599.2888888888889
20,2022-07-11 14:19:58.569,10,CONTROL FEEDBACK,305:2022-07-11 14:19:58.569,1,0.0,1,563.3263157894737
21,2022-07-11 14:19:58.569,10,CONTROL FEEDBACK,305:2022-07-11 14:19:58.569,1,1.0,1,586.2428571428572
22,2022-07-11 14:19:58.569,10,CONTROL FEEDBACK,305:2022-07-11 14:19:58.569,1,2.0,1,581.8029411764705
23,2022-07-11 14:19:58.569,10,CONTROL FEEDBACK,305:2022-07-11 14:19:58.569,1,3.0,1,553.4107843137256
24,2022-07-11 14:38:41.102,5,CONTROL FEEDBACK,304:2022-07-11 14:38:41.102,0,0.0,1,408.41724137931027
25,2022-07-11 14:38:41.102,5,CONTROL FEEDBACK,304:2022-07-11 14:38:41.102,0,1.0,1,420.1999999999999
26,2022-07-11 14:38:41.102,5,CONTROL FEEDBACK,304:2022-07-11 14:38:41.102,0,2.0,1,433.7770833333334
27,2022-07-11 14:38:41.102,5,CONTROL FEEDBACK,304:2022-07-11 14:38:41.102,0,3.0,1,430.65789473684214
28,2022-07-11 14:38:41.102,5,CONTROL FEEDBACK,304:2022-07-11 14:38:41.102,1,0.0,1,413.8613636363636
29,2022-07-11 14:38:41.102,5,CONTROL FEEDBACK,304:2022-07-11 14:38:41.102,1,1.0,1,411.995
30,2022-07-11 14:38:41.102,5,CONTROL FEEDBACK,304:2022-07-11 14:38:41.102,1,2.0,1,414.1869565217392
31,2022-07-11 14:38:41.102,5,CONTROL FEEDBACK,304:2022-07-11 14:38:41.102,1,3.0,1,419.58181818181816
32,2022-07-11 14:43:06.467,10,CONTROL FEEDBACK,307:2022-07-11 14:43:06.467,0,0.0,1,436.5359477124183
33,2022-07-11 14:43:06.467,10,CONTROL FEEDBACK,307:2022-07-11 14:43:06.467,0,1.0,1,446.43636363636347
34,2022-07-11 14:43:06.467,10,CONTROL FEEDBACK,307:2022-07-11 14:43:06.467,0,2.0,1,412.41499999999996
35,2022-07-11 14:43:06.467,10,CONTROL FEEDBACK,307:2022-07-11 14:43:06.467,0,3.0,1,445.2173913043478
36,2022-07-11 14:43:06.467,10,CONTROL FEEDBACK,307:2022-07-11 14:43:06.467,1,0.0,1,443.6045454545454
37,2022-07-11 14:43:06.467,10,CONTROL FEEDBACK,307:2022-07-11 14:43:06.467,1,1.0,1,418.90952380952376
38,2022-07-11 14:43:06.467,10,CONTROL FEEDBACK,307:2022-07-11 14:43:06.467,1,2.0,1,440.90967741935486
39,2022-07-11 14:43:06.467,10,CONTROL FEEDBACK,307:2022-07-11 14:43:06.467,1,3.0,1,417.68444444444447
