,unique_participant,patch_length,feedback,prior_0_context_0,prior_0_context_1,prior_0_context_2,prior_0_context_3,prior_1_context_0,prior_1_context_1,prior_1_context_2,prior_1_context_3
0,301:2022-07-11 14:16:33.676,10 Trials,CONTROL FEEDBACK,497.757777777778,527.7500000000001,480.3884615384616,488.605,508.49000000000007,490.30999999999983,479.9548387096774,516.584761904762
1,302:2022-07-11 21:45:30.742,5 Trials,CONTROL FEEDBACK,443.70344827586206,443.2608695652175,446.30444444444436,445.84285714285716,452.1707317073171,449.7619047619047,442.4826086956523,453.7855263157895
2,30313:2022-07-18 17:36:08.680,10 Trials,CONTROL FEEDBACK,472.41216216216236,492.07199999999995,479.63103448275865,459.01666666666665,478.8476190476191,431.00416666666666,423.2882352941176,463.23939393939395
3,303:2022-07-11 17:15:37.601,10 Trials,CONTROL FEEDBACK,417.41142857142853,415.45,404.1192307692306,410.94800000000004,417.91578947368424,407.02592592592595,410.7333333333334,405.4773809523808
4,304:2022-07-11 14:38:41.102,5 Trials,CONTROL FEEDBACK,408.41724137931027,420.1999999999999,433.7770833333334,430.65789473684214,413.8613636363636,411.995,414.1869565217392,419.58181818181816
5,305:2022-07-11 14:19:58.569,10 Trials,CONTROL FEEDBACK,577.2302325581393,566.0888888888888,617.3950000000002,599.2888888888889,563.3263157894737,586.2428571428572,581.8029411764705,553.4107843137256
6,306:2022-07-11 21:33:52.428,5 Trials,CONTROL FEEDBACK,414.45568185227296,418.1938775510205,403.0229166041667,401.7785713571428,414.09189183783775,403.0500000277778,388.81276604255316,393.1055554722222
7,307:2022-07-11 14:43:06.467,10 Trials,CONTROL FEEDBACK,436.5359477124183,446.43636363636347,412.41499999999996,445.2173913043478,443.6045454545454,418.90952380952376,440.90967741935486,417.68444444444447
8,308:2022-07-12 11:39:09.119,5 Trials,CONTROL FEEDBACK,396.3302325581395,383.769387755102,383.0560975609756,380.50975609756097,384.2780487804877,396.20454545454544,381.96382978723403,380.1657534246577
9,31177:2022-08-11 15:35:35.586,10 Trials,CONTROL FEEDBACK,416.3069930069931,430.06250000000006,407.5222222222222,395.38750000000005,399.12105263157883,422.790909090909,423.23829787234035,414.53295454545446
10,311:2022-07-13 11:30:25.888,10 Trials,CONTROL FEEDBACK,509.51408450704224,516.8695652173913,505.1212121212121,510.125,490.2105263157895,501.3157894736842,508.12068965517244,490.05555555555554
11,312:2022-07-12 20:16:44.428,5 Trials,CONTROL FEEDBACK,364.74827586206885,365.84888888888884,354.5583333333334,357.05999999999995,375.45454545454544,367.98536585365855,363.65319148936175,377.2631578947367
12,313:2022-07-19 19:16:54.069,10 Trials,CONTROL FEEDBACK,414.3402877697845,409.76538461538473,429.2923076923076,407.909090909091,405.1647058823531,393.73636363636365,385.44090909090903,383.6868131868131
13,314:2022-07-12 21:24:03.582,5 Trials,CONTROL FEEDBACK,382.756179775281,401.65510204081636,381.2767441860465,399.0374999999999,372.62250000000006,389.03095238095233,372.14042553191496,374.1406250000001
14,315:2022-07-12 23:09:03.124,10 Trials,CONTROL FEEDBACK,387.8947368552634,375.8318181363636,393.81200003999993,394.02272745454553,378.5649999,368.357142904762,379.23421036842115,379.8893805663717
15,316:2022-07-12 18:22:31.137,5 Trials,CONTROL FEEDBACK,473.0561797752807,460.1021739130436,466.56000000000006,459.4264705882353,460.57000000000005,461.73076923076934,457.0955555555556,459.4684210526316
16,317:2022-07-12 16:25:17.976,10 Trials,CONTROL FEEDBACK,631.8423076923077,613.3428571428573,607.9090909090909,658.33125,642.7809523809525,630.7882352941176,651.2,621.3798245614037
17,318:2022-07-12 14:25:15.459,5 Trials,CONTROL FEEDBACK,439.54318181818184,453.66739130434775,441.2958333333332,427.9926829268293,449.9976190476191,432.0341463414634,446.87234042553183,437.55866666666657
18,319:2022-07-12 17:11:40.572,10 Trials,CONTROL FEEDBACK,396.9624060150376,417.4740740740741,413.1735294117647,406.78235294117644,401.12,375.04615384615374,390.8186046511628,381.75967741935483
19,320:2022-07-12 12:43:19.277,5 Trials,CONTROL FEEDBACK,466.2428571428571,457.29799999999994,444.04761904761915,432.2894736842105,463.1452380952381,426.56666666666666,445.79534883720925,434.82
20,321:2022-07-12 11:32:17.589,10 Trials,CONTROL FEEDBACK,427.98783783783773,428.89545454545447,416.21363636363645,413.91904761904766,407.5333333333333,409.147619047619,440.13846153846157,425.16760563380285
21,322:2022-07-12 11:52:20.331,5 Trials,CONTROL FEEDBACK,423.84321428571405,425.34386363636366,435.4770454545456,447.19988095238097,448.46166666666664,441.60292682926826,431.94555555555553,423.8169594594595
22,324:2022-07-25 14:15:33.873,5 Trials,CONTROL FEEDBACK,418.9616279069769,421.0479999999999,419.32083333333344,411.571875,418.3307692307693,419.6081081081081,428.33673469387764,413.6767441860466
23,325:2022-07-12 17:11:20.400,10 Trials,CONTROL FEEDBACK,388.33496503496485,370.8333333333333,388.9521739130436,376.0695652173913,361.43809523809534,376.14736842105253,369.4566666666666,376.85070422535216
24,327:2022-07-12 17:29:01.645,10 Trials,CONTROL FEEDBACK,463.7717105263157,450.5692307692308,479.61739130434785,481.61200000000014,478.79499999999996,456.24074074074065,460.64772727272725,458.5912087912088
25,32869:2022-07-12 09:09:58.373,10 Trials,CONTROL FEEDBACK,435.17943262411336,409.7476190476191,426.35000000000014,428.65333333333336,419.53999999999996,416.0263157894737,422.1124999999999,418.9150000000001
26,329:2022-07-12 17:08:25.802,10 Trials,CONTROL FEEDBACK,441.33146853146854,452.58965517241376,483.46666666666675,483.09999999999985,438.29999999999995,431.01851851851853,432.8340425531915,426.92033898305084
27,330:2022-07-18 10:47:55.447,5 Trials,CONTROL FEEDBACK,406.87831325301227,408.65000000000003,413.4553191489362,395.77317073170724,393.77179487179484,405.41951219512185,384.28749999999997,391.0449275362318
28,332:2022-07-13 12:14:06.259,5 Trials,CONTROL FEEDBACK,382.80113636363643,380.4139534883721,372.7739130434784,375.9414634146341,380.63863636363624,366.2285714285714,365.5244444444444,369.96538461538455
29,33301:2022-08-14 16:58:00.907,10 Trials,CONTROL FEEDBACK,443.10855263157924,460.995238095238,443.24545454545455,433.50909090909096,457.547619047619,421.68,423.7750000000001,429.1777777777778
30,333:2022-07-12 17:55:42.263,10 Trials,CONTROL FEEDBACK,397.40337837837853,399.9703703703704,409.84166666666664,395.40000000000003,395.3052631578948,401.8095238095238,396.1783783783784,395.3459459459457
31,33574:2022-07-13 13:28:10.375,5 Trials,CONTROL FEEDBACK,357.11494252873564,351.6511627906977,335.97872340425533,344.6666666666667,326.61538461538464,333.94871794871796,342.7173913043478,330.4468085106383
32,33634:2022-08-03 18:33:43.189,5 Trials,CONTROL FEEDBACK,400.2065934065935,410.5934782608696,392.50666666666666,387.3540540540542,392.8724999999999,382.47209302325587,388.72,399.605882352941
33,337:2022-07-14 11:25:44.328,10 Trials,CONTROL FEEDBACK,411.77448275862076,419.29166666666674,413.2933333333333,379.36666666666673,387.64761904761906,406.3095238095239,407.35714285714283,405.810752688172
34,33937:2022-08-02 12:40:09.990,10 Trials,CONTROL FEEDBACK,491.4549668874173,504.5727272727274,497.79499999999996,491.72857142857157,484.921052631579,480.44090909090903,482.7966666666668,480.27647058823544
35,339:2022-07-17 13:29:25.027,10 Trials,CONTROL FEEDBACK,428.1578947368421,414.625,429.93461538461537,445.8692307692308,418.2904761904761,425.45,430.74166666666673,417.9670103092782
36,340:2022-07-14 11:53:25.773,5 Trials,CONTROL FEEDBACK,420.26136363636374,413.23404255319156,417.72051282051285,406.5341463414634,409.74761904761897,414.43636363636375,421.2866666666667,410.01095890410966
37,342:2022-07-14 22:42:26.310,5 Trials,CONTROL FEEDBACK,396.08901101098894,400.1591836734694,408.89999999999986,387.7789472631579,390.01025651282043,395.884999825,399.29399996000006,392.2283019245283
38,343:2022-07-16 20:31:37.374,10 Trials,CONTROL FEEDBACK,430.18150684931504,422.89000000000004,466.3190476190476,430.53749999999985,424.6714285714285,447.390909090909,416.8763157894735,430.0478260869566
39,345:2022-07-14 19:46:22.209,10 Trials,CONTROL FEEDBACK,388.5972027972027,397.9833333333333,388.07419354838714,399.4791666666667,381.2578947368421,379.39090909090913,392.4413043478261,384.6858823529413
40,346:2022-07-17 12:12:43.537,5 Trials,CONTROL FEEDBACK,386.6258426966292,386.0543478260869,375.85121951219503,380.82142857142856,376.71500000000003,391.16976744186053,371.036170212766,372.5625000000001
41,347:2022-07-17 19:43:42.771,10 Trials,CONTROL FEEDBACK,440.17483443708585,416.33000000000004,414.75714285714287,410.65909090909093,459.89545454545447,435.62916666666666,437.1607142857143,440.4335937499998
42,348:2022-07-17 16:48:01.397,5 Trials,CONTROL FEEDBACK,405.2966666666668,412.95227272727266,420.06410256410254,366.6846153846154,399.9441860465116,398.1744186046512,398.8173913043479,404.57162162162166
43,34981:2022-07-24 15:10:30.879,10 Trials,CONTROL FEEDBACK,403.9065789473684,411.7083333333334,416.51363636363635,416.33181818181816,409.5,392.8315789473684,408.12285714285713,404.19359999999983
44,349:2022-07-18 16:20:09.479,10 Trials,CONTROL FEEDBACK,365.03377483443694,367.2826086956522,384.63199999999995,402.89047619047625,365.27500000000003,363.82,355.4166666666667,357.9300884955751
45,350:2022-08-13 20:08:57.312,5 Trials,CONTROL FEEDBACK,424.9156626506024,431.5791666666667,421.9571428571428,420.81515151515134,430.75897435897434,445.32564102564095,429.7425531914894,418.0169491525424
46,351:2022-07-22 11:35:52.815,10 Trials,CONTROL FEEDBACK,543.8918367346943,533.8636363636363,533.2291666666666,522.6772727272729,538.55,536.1380952380952,528.8033333333334,524.9166666666665
47,35272:2022-07-14 17:17:06.279,5 Trials,CONTROL FEEDBACK,437.40568181818196,444.4022727272728,442.3266666666667,465.54634146341465,421.46046511627895,440.6558139534881,438.2391304347826,420.1936708860757
48,352:2022-07-26 20:45:10.176,5 Trials,CONTROL FEEDBACK,472.87126436781597,478.65609756097547,473.734090909091,462.34000000000003,456.64318181818186,448.63809523809533,450.76666666666677,452.5555555555555
49,35353:2022-07-11 16:16:36.933,10 Trials,CONTROL FEEDBACK,474.0734693877549,473.52608695652174,492.09642857142853,485.38333333333344,455.56499999999994,476.1842105263158,470.5823529411764,476.71411764705886
50,353:2022-07-23 22:55:23.638,10 Trials,CONTROL FEEDBACK,408.976119402985,413.0208333333333,412.88,415.27272727272737,401.4437500000001,402.3433333333334,383.37272727272716,404.3557377049179
51,35428:2022-08-18 10:29:12.256,5 Trials,CONTROL FEEDBACK,368.9505494505494,384.4794871794871,363.806976744186,370.68918918918934,390.12954545454545,380.87857142857143,383.654347826087,388.4506849315069
52,35509:2022-08-15 11:28:45.706,10 Trials,CONTROL FEEDBACK,474.13020134228213,483.26,479.2074074074073,478.9576923076923,467.1388888888889,485.12222222222226,467.06470588235294,471.8468750000001
53,355:2022-07-22 17:16:34.703,10 Trials,CONTROL FEEDBACK,398.87352941176465,407.1714285714285,406.80000000000007,388.688888888889,385.04499999999996,390.268,390.00714285714275,394.65384615384613
54,35602:2022-07-10 20:54:04.340,5 Trials,CONTROL FEEDBACK,426.0022988505747,427.59374999999983,433.19318181818176,430.1878048780488,428.7184210526315,425.64285714285705,422.6777777777778,429.6867647058826
55,356:2022-07-22 23:26:20.023,5 Trials,CONTROL FEEDBACK,481.32705882352946,485.65769230769234,494.90999999999997,479.665625,482.89487179487173,480.0309523809524,481.9562499999998,472.0468085106382
56,357:2022-07-27 17:38:09.943,10 Trials,CONTROL FEEDBACK,383.48074074074094,378.696875,389.24242424242425,414.00800000000004,413.07894736842104,404.9391304347826,380.2456140350877,382.10238095238105
57,36154:2022-08-16 11:01:53.234,5 Trials,CONTROL FEEDBACK,407.87951807228916,417.964,402.83695652173907,385.4705882352941,412.50270270270266,408.08048780487803,422.21041666666656,393.35238095238094
58,36199:2022-08-17 01:56:25.847,10 Trials,CONTROL FEEDBACK,487.0985915492956,484.55862068965513,488.00476190476195,487.7666666666666,472.7499999999999,478.4136363636363,472.38666666666654,465.0255813953488
59,361:2022-07-22 18:11:42.731,10 Trials,CONTROL FEEDBACK,603.2507462686566,571.6999999999999,591.3241379310346,581.1583333333333,591.7611111111111,567.3714285714285,577.0944444444445,573.414893617021
60,363:2022-07-24 22:31:21.251,10 Trials,CONTROL FEEDBACK,390.97635135135135,407.7043478260869,379.24210526315795,384.5380952380953,377.42380952380944,389.20000000000005,382.321875,381.1984251968505
