patch_length,feedback,prior,context,count,mean,median,std
5,CONTROL FEEDBACK,0,0.0,96.0,429.5,423.67,42.82
5,CONTROL FEEDBACK,0,1.0,96.0,430.77,427.6,43.73
5,CONTROL FEEDBACK,0,2.0,96.0,430.4,425.26,45.62
5,CONTROL FEEDBACK,0,3.0,96.0,427.31,424.5,45.05
5,CONTROL FEEDBACK,1,0.0,96.0,424.58,421.47,44.09
5,CONTROL FEEDBACK,1,1.0,96.0,425.14,424.12,43.73
5,CONTROL FEEDBACK,1,2.0,96.0,423.82,421.17,46.48
5,CONTROL FEEDBACK,1,3.0,96.0,420.83,417.29,43.96
10,CONTROL FEEDBACK,0,0.0,90.0,435.64,429.3,55.73
10,CONTROL FEEDBACK,0,1.0,90.0,435.63,423.59,55.16
10,CONTROL FEEDBACK,0,2.0,90.0,437.87,425.18,54.67
10,CONTROL FEEDBACK,0,3.0,90.0,437.6,429.75,56.46
10,CONTROL FEEDBACK,1,0.0,90.0,431.93,418.92,57.22
10,CONTROL FEEDBACK,1,1.0,90.0,428.88,420.57,56.5
10,CONTROL FEEDBACK,1,2.0,90.0,431.82,424.6,56.39
10,CONTROL FEEDBACK,1,3.0,90.0,427.22,420.06,54.26
