,date,patch_length,feedback,unique_participant,prior,context,feedback_manipulation_type,RT
0,2017-11-28 09:31:00,5.0,CONTROL FEEDBACK,1:2017_Nov_28_0931,0.0,0.0,0,400.9198605555556
1,2017-11-28 09:31:00,5.0,CONTROL FEEDBACK,1:2017_Nov_28_0931,0.0,1.0,0,391.1723666666667
2,2017-11-28 09:31:00,5.0,CONTROL FEEDBACK,1:2017_Nov_28_0931,0.0,2.0,0,405.8856992105263
3,2017-11-28 09:31:00,5.0,CONTROL FEEDBACK,1:2017_Nov_28_0931,0.0,3.0,0,406.62840555555556
4,2017-11-28 09:31:00,5.0,CONTROL FEEDBACK,1:2017_Nov_28_0931,1.0,0.0,0,402.6671634482759
5,2017-11-28 09:31:00,5.0,CONTROL FEEDBACK,1:2017_Nov_28_0931,1.0,1.0,0,418.6345875757576
6,2017-11-28 09:31:00,5.0,CONTROL FEEDBACK,1:2017_Nov_28_0931,1.0,2.0,0,389.02783562499997
7,2017-11-28 09:31:00,5.0,CONTROL FEEDBACK,1:2017_Nov_28_0931,1.0,3.0,0,393.51438687499996
8,2017-11-28 10:09:00,10.0,CONTROL FEEDBACK,2:2017_Nov_28_1009,0.0,0.0,0,558.0940747619047
9,2017-11-28 10:09:00,10.0,CONTROL FEEDBACK,2:2017_Nov_28_1009,0.0,1.0,0,543.79662125
10,2017-11-28 10:09:00,10.0,CONTROL FEEDBACK,2:2017_Nov_28_1009,0.0,2.0,0,521.578395882353
11,2017-11-28 10:09:00,10.0,CONTROL FEEDBACK,2:2017_Nov_28_1009,0.0,3.0,0,528.2226111111112
12,2017-11-28 10:09:00,10.0,CONTROL FEEDBACK,2:2017_Nov_28_1009,1.0,0.0,0,543.8085457894737
13,2017-11-28 10:09:00,10.0,CONTROL FEEDBACK,2:2017_Nov_28_1009,1.0,1.0,0,549.1446285714285
14,2017-11-28 10:09:00,10.0,CONTROL FEEDBACK,2:2017_Nov_28_1009,1.0,2.0,0,556.9981795
15,2017-11-28 10:09:00,10.0,CONTROL FEEDBACK,2:2017_Nov_28_1009,1.0,3.0,0,554.2779001886793
16,2017-11-30 09:03:00,5.0,CONTROL FEEDBACK,3:2017_Nov_30_0903,0.0,0.0,0,366.81530179487174
17,2017-11-30 09:03:00,5.0,CONTROL FEEDBACK,3:2017_Nov_30_0903,0.0,1.0,0,376.9329935483872
18,2017-11-30 09:03:00,5.0,CONTROL FEEDBACK,3:2017_Nov_30_0903,0.0,2.0,0,379.40353777777784
19,2017-11-30 09:03:00,5.0,CONTROL FEEDBACK,3:2017_Nov_30_0903,0.0,3.0,0,398.09216735294115
20,2017-11-30 09:03:00,5.0,CONTROL FEEDBACK,3:2017_Nov_30_0903,1.0,0.0,0,384.370015882353
21,2017-11-30 09:03:00,5.0,CONTROL FEEDBACK,3:2017_Nov_30_0903,1.0,1.0,0,365.9810225714286
22,2017-11-30 09:03:00,5.0,CONTROL FEEDBACK,3:2017_Nov_30_0903,1.0,2.0,0,402.4067854285714
23,2017-11-30 09:03:00,5.0,CONTROL FEEDBACK,3:2017_Nov_30_0903,1.0,3.0,0,380.4909268292683
24,2017-11-30 09:12:00,10.0,CONTROL FEEDBACK,4:2017_Nov_30_0912,0.0,0.0,0,410.927471875
25,2017-11-30 09:12:00,10.0,CONTROL FEEDBACK,4:2017_Nov_30_0912,0.0,1.0,0,397.0851590476189
26,2017-11-30 09:12:00,10.0,CONTROL FEEDBACK,4:2017_Nov_30_0912,0.0,2.0,0,409.74834272727276
27,2017-11-30 09:12:00,10.0,CONTROL FEEDBACK,4:2017_Nov_30_0912,0.0,3.0,0,426.20527300000003
28,2017-11-30 09:12:00,10.0,CONTROL FEEDBACK,4:2017_Nov_30_0912,1.0,0.0,0,444.6055982352941
29,2017-11-30 09:12:00,10.0,CONTROL FEEDBACK,4:2017_Nov_30_0912,1.0,1.0,0,395.3092116666667
30,2017-11-30 09:12:00,10.0,CONTROL FEEDBACK,4:2017_Nov_30_0912,1.0,2.0,0,405.5860026666667
31,2017-11-30 09:12:00,10.0,CONTROL FEEDBACK,4:2017_Nov_30_0912,1.0,3.0,0,408.97888662337664
32,2017-11-30 09:49:00,5.0,CONTROL FEEDBACK,5:2017_Nov_30_0949,0.0,0.0,0,533.7009908571429
33,2017-11-30 09:49:00,5.0,CONTROL FEEDBACK,5:2017_Nov_30_0949,0.0,1.0,0,516.6911757142857
34,2017-11-30 09:49:00,5.0,CONTROL FEEDBACK,5:2017_Nov_30_0949,0.0,2.0,0,504.1065730303031
35,2017-11-30 09:49:00,5.0,CONTROL FEEDBACK,5:2017_Nov_30_0949,0.0,3.0,0,499.56953575757575
