,date,patch_length,feedback,unique_participant,prior,context,feedback_manipulation_type,RT
0,2017-11-28 09:31:00,5.0,CONTROL FEEDBACK,1:2017_Nov_28_0931,0,0.0,0,418.98146637362646
1,2017-11-28 09:31:00,5.0,CONTROL FEEDBACK,1:2017_Nov_28_0931,0,1.0,0,425.48756563636357
2,2017-11-28 09:31:00,5.0,CONTROL FEEDBACK,1:2017_Nov_28_0931,0,2.0,0,441.964914883721
3,2017-11-28 09:31:00,5.0,CONTROL FEEDBACK,1:2017_Nov_28_0931,0,3.0,0,422.0959138095239
4,2017-11-28 09:31:00,5.0,CONTROL FEEDBACK,1:2017_Nov_28_0931,1,0.0,0,412.124664
5,2017-11-28 09:31:00,5.0,CONTROL FEEDBACK,1:2017_Nov_28_0931,1,1.0,0,405.33636705882367
6,2017-11-28 09:31:00,5.0,CONTROL FEEDBACK,1:2017_Nov_28_0931,1,2.0,0,386.57536363636353
7,2017-11-28 09:31:00,5.0,CONTROL FEEDBACK,1:2017_Nov_28_0931,1,3.0,0,398.78556374999994
8,2017-11-28 10:09:00,10.0,CONTROL FEEDBACK,2:2017_Nov_28_1009,0,0.0,0,556.6733409322036
9,2017-11-28 10:09:00,10.0,CONTROL FEEDBACK,2:2017_Nov_28_1009,0,1.0,0,533.9118204166667
10,2017-11-28 10:09:00,10.0,CONTROL FEEDBACK,2:2017_Nov_28_1009,0,2.0,0,524.7994048148148
11,2017-11-28 10:09:00,10.0,CONTROL FEEDBACK,2:2017_Nov_28_1009,0,3.0,0,548.5094473076923
12,2017-11-28 10:09:00,10.0,CONTROL FEEDBACK,2:2017_Nov_28_1009,1,0.0,0,539.2898768181817
13,2017-11-28 10:09:00,10.0,CONTROL FEEDBACK,2:2017_Nov_28_1009,1,1.0,0,554.2022271999999
14,2017-11-28 10:09:00,10.0,CONTROL FEEDBACK,2:2017_Nov_28_1009,1,2.0,0,534.7548009523812
15,2017-11-28 10:09:00,10.0,CONTROL FEEDBACK,2:2017_Nov_28_1009,1,3.0,0,565.9569606493508
16,2017-11-30 09:03:00,5.0,CONTROL FEEDBACK,3:2017_Nov_30_0903,0,0.0,0,387.0540440000001
17,2017-11-30 09:03:00,5.0,CONTROL FEEDBACK,3:2017_Nov_30_0903,0,1.0,0,396.46911581818176
18,2017-11-30 09:03:00,5.0,CONTROL FEEDBACK,3:2017_Nov_30_0903,0,2.0,0,401.56346166666674
19,2017-11-30 09:03:00,5.0,CONTROL FEEDBACK,3:2017_Nov_30_0903,0,3.0,0,395.0408492857142
20,2017-11-30 09:03:00,5.0,CONTROL FEEDBACK,3:2017_Nov_30_0903,1,0.0,0,385.9558389473684
21,2017-11-30 09:03:00,5.0,CONTROL FEEDBACK,3:2017_Nov_30_0903,1,1.0,0,385.8838105128206
22,2017-11-30 09:03:00,5.0,CONTROL FEEDBACK,3:2017_Nov_30_0903,1,2.0,0,387.4960861764706
23,2017-11-30 09:03:00,5.0,CONTROL FEEDBACK,3:2017_Nov_30_0903,1,3.0,0,372.7489582857143
24,2017-11-30 09:12:00,10.0,CONTROL FEEDBACK,4:2017_Nov_30_0912,0,0.0,0,410.41039014598533
25,2017-11-30 09:12:00,10.0,CONTROL FEEDBACK,4:2017_Nov_30_0912,0,1.0,0,401.56944312499996
26,2017-11-30 09:12:00,10.0,CONTROL FEEDBACK,4:2017_Nov_30_0912,0,2.0,0,419.7243781818183
