patch_length,prior,feedback,delta_m,delta_sd,n,mx,my,sdx,sdy,cohen,ci_low,ci_high,t,p_value,r,r_p_value,experiment,paper
5,False,CONTROL FEEDBACK,0.2865138931707529,17.578918544762598,60,445.672322323596,445.3858084304253,38.84968767538807,36.257291033461705,0.0161623278755566,-0.2369531550766193,0.269141708768477,0.1251928533959499,0.9007964810657738,0.892694449172944,9.754462034754873e-22,e1a,revisited
5,True,CONTROL FEEDBACK,-8.175343782289376,16.750561572730405,60,429.4062248318001,437.5815686140896,38.91294529609021,36.59607464707548,-0.4839795743951773,-0.7497549349543686,-0.2145306096660431,-3.748889663074151,0.0002032918980505,0.9033702160296224,5.435827382861374e-23,e1a,revisited
10,False,CONTROL FEEDBACK,9.15480387222968,17.18821804026621,57,454.7209433058535,445.5661394336239,38.3922666740572,34.53550021698036,0.5279280966599826,0.2485263732615577,0.8031820682285639,3.985769723510482,0.000196585418633,0.8941997850774941,7.56919080360641e-21,e1a,revisited
10,True,CONTROL FEEDBACK,-12.77217169388583,18.95745312642728,57,425.2537708814857,438.0259425753715,36.09319298463452,38.74395555234435,-0.667792201241679,-0.9527799323695888,-0.3779057918356716,-5.0417205565396825,2.5787426528774157e-06,0.8740130741008378,7.016805756478781e-19,e1a,revisited
5,False,CONTROL FEEDBACK,-0.8218766890337664,13.900889349843684,52,442.7647764612462,443.58665315028,56.95971631245891,55.65509526192109,-0.0585527763544077,-0.3303018609937105,0.213764196571089,-0.422230074933185,0.6746318381492373,0.9697907348289728,2.6735301987719286e-32,e1b,revisited
5,True,CONTROL FEEDBACK,-11.365838245417017,21.07414721869896,52,430.73111001591656,442.0969482613336,51.284152606745394,54.721128749032985,-0.5341151265071977,-0.8226225636962528,-0.2410157766851859,-3.851558951245273,0.0001645608973355,0.922976381672743,2.2315115273918245e-22,e1b,revisited
10,False,CONTROL FEEDBACK,5.151205326095334,15.632434232660035,43,442.0250339953616,436.87382866926623,40.41363622486066,40.25747232185584,0.3256661862226808,0.0169782947429759,0.6306795593784782,2.1355359955991164,0.038592701557103,0.9249059631662476,8.043008593657054e-19,e1b,revisited
10,True,CONTROL FEEDBACK,-13.1620116825579,17.569846814214976,43,421.049651249415,434.21166293197285,40.4674990581964,43.10562224880878,-0.7403630132399132,-1.0749010754855874,-0.3988813799011392,-4.854884944987719,8.514631118193425e-06,0.9135107060576912,1.3045677125393396e-17,e1b,revisited
5,False,CONTROL FEEDBACK,0.7113922795621438,13.589480573311391,37,454.6337425366017,453.9223502570396,39.08991135720312,43.48381559703474,0.0516364859006681,-0.2711556666595164,0.3737147895585825,0.3140924816328562,0.7552637851379489,0.951356136090734,1.7828666748472642e-19,e2a,revisited
5,True,CONTROL FEEDBACK,-8.383101976446614,17.87073059412913,37,439.3913883040661,447.7744902805128,40.82395233809455,43.43509053299712,-0.4627142023588397,-0.7991771759460292,-0.1204585283122929,-2.8145806123451784,0.0039344765508019,0.9118693977552358,4.263437133841735e-15,e2a,revisited
10,False,CONTROL FEEDBACK,8.559127828912345,16.680103832832835,41,460.4268619498853,451.867734120973,34.04487848915932,32.54001942228473,0.5068376050203568,0.1785309706656627,0.8295326701984832,3.245344153148264,0.0023737463584571,0.8754486233548525,6.967341459761711e-14,e2a,revisited
10,True,CONTROL FEEDBACK,-11.138348846249428,20.3043076692861,41,433.0348565719625,444.173205418212,32.09654960638184,34.282376653609234,-0.5418395442209721,-0.8670665657460892,-0.210707589124934,-3.4694659184008745,0.0006316674033944,0.8148368472374052,8.953393129590661e-11,e2a,revisited
5,False,CONTROL FEEDBACK,0.6163147856111948,20.429506777773256,48,486.2678791719381,485.6515643863269,71.16525211279651,63.794770372219546,0.0298519712902422,-0.2532669362122386,0.3126543464307332,0.2068205239231481,0.8370434464448616,0.960017282849309,4.468858357924213e-27,e2b,revisited
5,True,CONTROL FEEDBACK,-16.24783482947169,15.206961649900649,48,458.6918514972252,474.93968632669686,64.40678385446117,66.31055024049431,-1.057258913058945,-1.4077995515232025,-0.6994075718379884,-7.324904616692555,1.3166037652824643e-09,0.973351043150176,4.568521275196805e-31,e2b,revisited
10,False,CONTROL FEEDBACK,16.562610887675707,19.30440692448659,49,506.6987838587478,490.136172971072,84.02144104591378,75.07367576729642,0.8491705302810425,0.5186381057727448,1.1731520254748204,5.944193711967298,3.050597465680185e-07,0.976806676147304,4.116581380961898e-33,e2b,revisited
10,True,CONTROL FEEDBACK,-19.623901238887047,21.05114202250097,49,464.9452720894853,484.5691733283725,71.18502090260556,77.36866175287994,-0.9226399743779272,-1.2543136116314495,-0.5841550596248969,-6.458479820645491,2.4900435183707018e-08,0.96323977159377,1.7800053672808106e-28,e2b,revisited
5,False,CONTROL FEEDBACK,-2.188559868889744,13.5241533874704,96,427.3129937607992,429.5015536296888,44.81870339346992,42.593685665865166,-0.1609809662264884,-0.3619031354416272,0.0407766887189042,-1.577284902220434,0.1180542532970899,0.953391146611323,1.0461809775371883e-50,e2c,revisited
5,True,CONTROL FEEDBACK,-3.745203950224741,13.345347758181346,96,420.8299937518268,424.5751977020515,43.73440813979681,43.86442308395762,-0.2791719394109592,-0.4823929070611911,-0.07453802345869,-2.735315208240126,0.0037183014547429,0.9535855832624112,8.634205963656885e-51,e2c,revisited
10,False,CONTROL FEEDBACK,1.9576390168375328,15.880565501140456,90,437.5968953568462,435.6392563400087,56.14258922406678,55.4177846774758,0.1225858654021261,-0.0851350570215957,0.329624077990775,1.162951630840654,0.247957827527485,0.9595559433061188,3.1807158236232452e-50,e2c,revisited
10,True,CONTROL FEEDBACK,-4.707300509716165,15.140381265512822,90,427.2248868215486,431.9321873312647,53.95336886339015,56.898607890945165,-0.3091781975764579,-0.5198685296962425,-0.096832385756288,-2.9331219216214746,0.0021332880626515,0.9640772087309754,1.902161317054828e-52,e2c,revisited
5,False,CONTROL FEEDBACK,-2.295925802588001,17.10445918686238,42,451.7117139560298,454.0076397586178,38.993479414123264,39.06311163740768,-0.1326220647192652,-0.4356034275431172,0.1719565367361449,-0.8594892123330234,0.3950683626679631,0.903966517790566,2.4065676425767917e-16,e1,relevance
