Unnamed: 0,unique_participant,האם דבר מסוים התרחש בניסוי בכל מספר צעדים קבוע?,האם יש לך שאלות כלליות או הערות על הניסוי?,האם לדעתך הייתה חוקיות נוספת ששלטה בהבזקים הלבנים?,האם שמת לב לכך שלעתים העיגולים הבזיקו בלבן?,מה היה הקשר בין הבזקים האלה ובין תגובותיך?,מה לדעתך הייתה מטרת הניסוי?
0,101.0:2022-06-26 17:04:44.689,כן ההבזקים החלו ונפסקו,לא,לא,כן,כאשר לחצתי על מקש נכון העיגול הבזיק,להבין האם ההבזקים מועילים לדיוק ומהירות בבחירה הקוגנטיבית
1,102.0:2022-06-28 20:30:59.639,ההבזקים כנראה,לא,לא הבנתי אותה לצערי,כן,לא הבנתי את הקשר חשבתי תקלה,להבין אם אני יכול ללמוד מתי יש הבזקים
2,103.0:2022-06-27 22:22:42.724,כל עשרה צעדים העיגול הפך ממבזיק בלחיצה ללא מבזיק בלחיצה,לא,אחרי כל עשרה עיגולים שלא עושים הבזק הגיעו עשרה שעושים הבזק וחוזר חלילה,כן,זה היה יותר מספק ללחוץ על אות כשלאחר מכן העיגול הבזיק,לדעתי מטרת הניסוי הייתה לראות אם וכיצד ההבנה שלי בשינוי תגובתם של העיגולים משפיעה על יעילות הלחיצה הנכונה שלי לפי אות וזמן התגובה
3,104.0:2022-06-29 18:48:55.894,יכול להיות שההבזקים לא בטוחה שהבנתי את השאלה,משתפת שבהתחלה כשראיתי שיש הבזק ואז הוא פסק הייתי בטוחה שמשהו לא בסדר עם המקלדת שלי אז חשתי הרבה יותר לחץ ועצבנות סביב זה כשההבזק לא הופיע כי לא ידעתי אם דברים עובדים כשורה מה שלדעתי השפיע גם על הדיוק שלי בתשובה ושהיו לי פחות טעויות כשכן הופיע ההבזק אולי כדאי ליידע לפני שזה אמור להיות ככה אלא אם כן המטרה היא לא ליידע ולראות איך אנשים מגיבים אז זה בסדר,לקראת סופ הניסוי חשבתי שיכול להיות שיש חוקיות אז התחלתי לספור כמה פעמים כל פעם הם מופיעים וגם חשבתי שהם מתחילים להופיע אחרי מספר פעמים שלחצתי על אות נכונה כמו סוג של פרס על זה שצדקתי,כן ,הייתה לי תחושה של השלמה כשההבזק הופיע וכשלא הופיע הרגשתי חוסר שביעות רצון וחשבתי שיכול להיות שאני עושה משהו לא בסדר,לבדוק מהירות תגובה ולבדוק אם יש הבדל במהירות ובדיוק שלי כשיש הבזק לעומת שאין הבזק
4,106.0:2022-06-30 18:02:37.549,לא,לא,לא, כן,בלבל אבל לא השפיע על התגובות,לבדוק תשומת לב לפרטים קטנים תוך כדי התעסקות במשהו אחר
5,108.0:2022-07-03 09:22:43.094,לא שמתי לב,לא,לא, כן,כשהגבתי נכון נצבעו בלבן בחלק מהפעמים נראה לי שרק במיעוט פעמים נהפכו ללבן,לבדוק את היחס בין שהעיגולים הופכים ללבן ובין שלא על הצלחת המשימה
6,110.0:2022-07-02 23:02:46.866,ההבזקים השתנו,לא,כן לפי הספרה 4,כן ,חשבתי שכשיש הבזק עניתי נכון,לבדוק מיקוד במספר גורמים שוניפ
7,111.0:2022-06-30 07:21:19.375,לא שמתי לב,לא,כל פעם שלחצתי על האות הנכונה הופיע הבזק וככה ידעתי שהתשובה נכונה,כן,ההבזקים נתנו לי משוב שאני עושה נכון,לראות מה קורה כאשר מקבלים משוב
8,112.0:2022-07-01 00:40:29.798,העיגול נעלם אחרי שלחצתי על האות,לא,לא יודעת,לא,לא שמתי לב אליהם,מהירות תגובה מציאת חוקיות
9,114.0:2022-07-02 22:38:28.543,היו הבזקים,לא,הם ב'בלוקים',כן,לא הרגשתי שהיה קשר,לראות אם משהו בתגובות השתנה כשהיו הבזקים
