Unnamed: 0,unique_participant,האם דבר מסוים התרחש בניסוי בכל מספר צעדים קבוע?,האם יש לך שאלות כלליות או הערות על הניסוי?,"האם לדעתך הייתה חוקיות מסוימת ששלטה בקפיצת העיגולים? אם כן, מה היא הייתה?",האם לדעתך הייתה חוקיות נוספת ששלטה בהבזקים הלבנים?,"האם שמת לב לכך שלעתים העיגולים ""קפצו"" ממקומם? ",האם שמת לב לכך שלעתים העיגולים הבזיקו בלבן?,מה היה הקשר בין הבזקים האלה ובין תגובותיך?,מה לדעתך הייתה מטרת הניסוי?,מה לדעתך הייתה מטרתה של הקפיצה?
0,1011:2023-04-23 23:34:48.010,לא זיהיתי שום דבר קבוע,לא,לא זיהיתי חוקיות,אני לא זיהיתי חוקיות ,כן,כן שמתי לב,בהתחלה כלל לא התייחסתי אליהם ובאמצע קלטתי אותם אך התעלמתי מהם,בדיקה של הפניית קשב וזיכרון תת הכרתי להתרחשויות,להפנות קשב למיקום החדש
1,19606:2022-11-04 11:02:14.110,לא יודע,לא,מהירות התגובה,מנחש שאולי מהירות התגובה,כן,כן,ממה שזכור לי ברגע שלחצתי נכון הם הבזיקו בלבן,לבדוק איך כל צד במוח שלנו עובד ויחד עם ראייה,אם אני לא טועה ככל שלחצתי מאוחר יותר כך הקפיצה הייתה גדולה יותר
2,24901:2023-07-10 13:28:24.788,לא ששמתי לב,לא,לא הצלחתי למצוא,לא הצלחתי למצוא חוקיות,כן,כן  ,לפעמים הפריע להתרכז,לבחון כיצד ההבזקים או הקפיצות משפיעות על הריכוז וההצלחה בכדור הבא,לבלבל ולגרום לנסיין להתסכל לצד אחר
3,26776:2022-12-16 13:48:09.508,לא עקבתי,לא תודה על ההזמנה להשתתפות,כנל לא יודע,ניסיתי למצוא אחת לא מצאתי והמשכתי,כן,כן,לא יודע,למדוד זמן תגובה,לא יודע
4,27043:2023-01-26 20:47:37.342,נראה לפעמים שכן אבל לא יודע להגיד בדיוק,לא הניסוי קליל ובצורה של משחק מחשב גם די מהנה,לא נראה לי,לא נראה לי,לדעתי לאחר מענה על תשובה נכונה שהעיגול עשה הבזק גם קפץ,כן לאחר לחיצה על העיגול הנכון לדעתי,לדעתי זה היה לאחר תשובה נכונה וזה נותן יותר סיפוק והנאה,לבדוק ריכוז מהירות תגובה והשפעה לאחר הצלחה או כישלון,לדעתי עוד סימן לגבי מענה על תשובה נכונה מלבד ההבזק
5,27508:2022-10-24 13:36:29.009,לא,לא,לא,לא,כן,לא,אין קשר,לבדוק את מהירות התגובה,לא יודעת
6,29680:2023-03-28 13:33:37.892,כן,לא,ניסיתי לא להקדיש לשזה מחשב,לא ששמתי לב,כן,  כן,כאשר הגבתי נכון,הבזקים בצדדים מרוחקים,הטעייה
7,300:2022-07-11 15:51:00.128,הייתה חוקיות מסויימת,נחמד אבל מתיש,עכשיו מאמין שכן חח,חשבתי שזה באג אז לא העמקתי,כן, כן,התבלבלתי לפעמים,לבחון קשב ,חשבתי באג  אבל בלבל
8,301:2022-07-11 14:16:33.676,לא שמתי לב לחוקיות,הניסוי היה מעניין שהוא דרך משחק,לא שמתי לב,לא ששמתי לב,כן,כן,תגובתי הייתה שכאשר יש את ההבזקים אז לחצתי נכון,לבדוק האם ההבזקים והשינוי של המיקום שלהם מערר אותי,לבלבל ולחשוב שהייתי צריכה ללחוץ על אות אחרת
9,302:2022-07-11 21:45:30.742,לט ממש שמתי לב,לא,לא שמתי לב,לא יודע,לא, לא  ,לא ראיתי קשר,בדיקת זמן תגובה,לבדוק זמן תגובה
10,30313:2022-07-18 17:36:08.680,אותו צבע ברצ של 3 פעמים באעותו מיקום,לא,לא שמתי לב,לא,כן,כן,לא באותו מיקום של הכדורים עם הצבעים,מהירות תגובה,לא יודע
11,303:2022-07-11 17:15:37.601,לא,לא,לא יודע,לא,לא שמתי לב,כן ,כלום,לא יודע,לא יודע
12,304:2022-07-11 14:38:41.102,לא שמתי לב למשהו כזה,לא,לא שמתי לב לחוקיות,לא,כן,כן ,התגובה שלי היתה איטית,לראות איך ההבזקים והתזוזות משפיעות על הצלחת הלחיצות,לבלבל אותי
13,305:2022-07-11 14:19:58.569,לא,לא,לא,לא,לא,כן,נחירה נכונה מהר,ללמוד לפגוע בלי לחשןב ולעקוב אם הרכוז נחלש עם הזמן,לא
14,306:2022-07-11 21:33:52.428,לא שמתי לב,לא 9,לא הבנתי את החוקיות חשבתי על רמזים תקפים ולא תקפים,כן,כן,כן,כן,לבחון את הקשר שלנו,להחזיר תשומת לב למסך 
15,307:2022-07-11 14:43:06.467,לא,מה המטרה שלו חח,לדעתי זה קשור למיקום שלהם במסילה ,חיפשתי לראות אם הם הולכים לכיוון מסויים בהקשר של צבע או אם המיקום שלהם במסילה משפיע מניחה שכן,כן,כן,ניסיתי להתעלם כמה שניתן אבל נחמד לקבל איזשהי תגובה להקשה שלי ,לבחון זמן תגובה בוודאות לא בטוחה שהבנתי מה המשמעות של העיגולים אבל כן הרגשתי שיש כאן ניסיון לאתגר או לבלבל לפעמים,להסיח את דעתי לקראת העיגול הבא
16,308:2022-07-12 11:39:09.119,לא שמתי לב,לא,לא יודעת,לא יודעת,כן,כן,אולי כשלקח לי יותר זמן היה לבן,לא יודעת,לבלבל
17,310:2022-07-14 21:29:22.173,לא ראיתי,לא היה מצווין,לא ,לא מצאתי אותה,כן נראלי כל פעם שהצלחתי ללחוץ על המקש,     כן,שמחה סיפוק הצלחתי,לבדוק את החזות של העין במקרה של הצלחה,לראות שהצלחתי ללחוץ בזמן
18,31177:2022-08-11 15:35:35.586,לא,לא,לא שמתי לב,לא שמתי לב לחוקיות מסויימת,כן אחרי שלחצתי על האות,כן,לא שמתי לב,לבדוק למידה בין צבע לאות,לא הספקתי להבחין בקשר מסויים אבל אולי כדי לכוון את הצעד הבא
19,311:2022-07-13 11:30:25.888,לא ששמתי לב,לא ,לא,נראה לי שלא,כן,כן ,לא היה,לראות אם אנשים משייכים רמזים חיצוניים לצורך ניבוי,הטעייה לקראת הפעם הבאה
