Timestamp,מספר נבדק,מה לדעתך הייתה מטרת הניסוי?,האם לדעתך הייתה חוקיות כלשהי שגרמה לעיגולים להפוך לבנים?,האם תרצה להוסיף משהו בנוגע לניסוי?
28/11/2017 09:45,1,לבדוק מהירות תגובה,כן,לא
28/11/2017 10:28,2,לבדוק כוח תגובה,"בהתחלה חשבתי שזה סמן שתשובתי הייתה נכונה, אבל לא, כי הייתי משחקת נכון וזה לא הופע כל הזמן",לא
30/11/2017 09:19,3,לראות איך מגיבים בתנאים שונים,לא אני חושבת שהייתה אקראית,לא
30/11/2017 09:29,4,לדעתי מטרת הניסוי הייתה לבחון את יכולת המהירות של הנבדק במצב בו ישנו הבזק במטבע מול המצב בו לא מופיע ההבזק. ,לדעתי לא.,.
30/11/2017 10:05,5,מטרת הניסוי לדעתי היא לבדוק איך משפיעה התוצאה שהצוצגה (הצלחה בלבן\אי הצלחה) על התיפקודים בהמשך,"לא, ","לפעמים היה מעצבן, כשהייתי לוחץ נכון ולא מופיע עגול לבן בהתאם."
30/11/2017 10:20,6,לבדוק עד כמה אני מרוכזת ומגיבה בצורה מהירה,כל פעם שאני טעיתי בתגובה לא הופיע עיגול לבן אחר כך כשלחצתי נכון,לא
30/11/2017 10:27,7,מהירות תגובה וקשב ,לא,"אין לי משהו להוסיף, תודה"
30/11/2017 10:53,8,בדיקת ריכוז וזמן תגובה,כשלוחצים על הכפתור המתאים לצבע אז העיגול הופך ללבן אבל לא תמיד. לא הצלחתי להבין את החוקיות.,לא
30/11/2017 11:19,9,בדיקת זמני תגובה לתמונות גדולים וקטנים,לא,ארבע אצבעות זה הרבה ועושה בלבול
30/11/2017 12:48,10,TO EXPLORE IF OUR HARD WORK IS AFFECTED BY THE SOUND OF OUR WINNING,NO,IT WAS FUN :)
30/11/2017 12:59,11,לבדוק את התגובה הרגשית להופעת ההבזק הלבן תוך לחיצת הכפתור.,לא,אולי להוסיף קצת יותר עניין...
30/11/2017 13:21,12,לבדוק האם הבזק האובייקט כגמול משפר את ביצועי המטלה,הרגשתי שיש רצף שבור,לא
30/11/2017 13:33,13,לבדוק את המהירות שלנו בזיהוי הגירויים,כן,לא
30/11/2017 13:58,14,לבדוק את הקשר בין תפיסה לתשובה,לפעמים לחיצה על כפתורים נכונים,לא
03/12/2017 08:50,15,לבדוק רמת הריכוז והתפיסה,"לא, כי לפעמים הייתי לוחצת אך לא היו הופכים ללבנים",לא
03/12/2017 09:02,16,מהירות מחשבה בתנאים מסיחים,לא,לא
03/12/2017 10:24,18,בדיקת רפלקסים,לא. לפחות לא מבחינת טיימינג לחיצה,לא
03/12/2017 10:35,19,לבדוק מהירות תגובה לגירויים משתנים,"לא, לדעתי זה היה רנדומלי",לא
05/12/2017 09:59,20,קשב וריכוז במשחקי מחשב,כן,לא
05/12/2017 10:17,21,בדיקת מצב הריכוז ,כן יכול להיות,לא יודעת אם זה רלוונטי אבל הקליקים אצלי לא היו קולטים כל הזמן.. 
05/12/2017 10:19,22,מהירות תגובה,לא,לא
05/12/2017 10:39,23,לבדוק ריכוז ושמירה על עירנות לאורך זמן,"כן, כל מספר לחציות ",לא
05/12/2017 11:47,24,לבחון את השפעת ההבזק,לא,ניסוי נחמד
05/12/2017 11:52,25,לבדוק אם הארת העצמים כשמחתימים אותם תורמת לדיוק,לא,לא
07/12/2017 09:32,26,"לבחון קשב, מהירות תגובה, אולי הבדלים בין דומיננטיות בין הידיים","לדעתי לא, כיוון שפעם הם היו לבנים ישר אחרי המשולש ופעם לא","רפטטיבי ואפשר לאבד ריכוז, אך אולי זאת המטרה גם"
07/12/2017 10:00,27,"לבדוק מהירות תגובה ובנוסף על כך, לבדוק האם זה שהנקודות לא תמיד הופכות ללבנות יערער את השחקן.",לא,לפי דעתי על מנת שיהיה יותר נוח לשחק עדיף להשתמש במקשים יותר מרווחים בשביל שיהיה יותא נוח לידיים.
07/12/2017 10:20,28,לבדוק תגובה להבזקים בהחתמות,לא מצאתי,לא
07/12/2017 10:26,29,לבחון את ההבדל בין הצדדים במוח,לא,לא
