Unnamed: 0,unique_participant,addSomething,debrief,feedbackRegularity,specifyRegularity
0,10:2019_May_06_1700,אל,תלבלבמ דואמ התיה םג םילוגיעה לש הזוזתהו םיקזבהה ץגניטפיש טסב רושקש והשמ ילוא,ןמזב ןוכנה שקמב םיעגופ םא ןבלל,ןמזב ןוכנה שקמב םיעגופש הדימב ןבלל
1,11:2019_May_07_1034,אל,םיעבצו בשקב רושקש והשמ תוהזל,אל,יתעדל התיה אל
2,11:2019_May_13_1229,אל,הב הדימעו המישמל םאתהב תובוגתל רושקש והשמ,הילא בל יתמשש אל,התיה אל
3,12:2019_May_07_1039,אל,תוריהמ קודבל ,תעדוי אל,תויקוח התייה םא בל יתמש אל
4,13:2019_May_07_1512,אל,הבוגת תוריהמ תניחב,םעבצ תא תונשל םילוגיעל יתמרג ינא,תויקוח התייה אל
5,14:2019_May_07_1607, תוריהמ ריבגהל, , ,תעדוי אל
6,15:2019_May_07_1632,אל,תעדוי אל,אל,אל
7,16:2019_May_07_1640,אל,המצע לע תרזוחה הלטמ עוציב רחאל תונריעה תא דודמל ,םישקמה לע יתצחל הבש בצקה ילוא,הנתשמ לוגיעה עבצ תוריהמ תוציחל שולש  ירחא
8,17:2019_May_07_1702,אל,עיפשמ שלושמ תועצאמב לובלבה דציכ קודבל,יתאצמ אל,יטנוולר אל
9,18:2019_May_07_1721,אל,ןיעל דיה ןיב רשקה תקידב,עבצ הניש לוגיעה ןמזב תדלקמה לע יתצחלשכ,עבצ הניש לוגיעה ןמזב תדלקמה לש שקמה לע יתצחלשכ
10,19:2019_May_07_1738,אל,עדוי אל,תויקוח התייה אל,תמדוקה הלאשב אל יתינע
11,19:2019_May_12_1127,אל,זוכיר תוערפהו בל תמושת קודבל,ןכ,ונתשה םירודכה תועט לכ ירחא
12,1:2019_May_01_1122,אל,תובוגת קוידו תוריהמ תניחב,אל,ךכ יתינע אל
13,20:2019_May_12_1152,אל,  ןמז ךרואל זוכיר קודבל,אל,תמיוסמ תויקוח התיה אל יתעדל
14,21:2019_May_12_1224,החלצהב .דואמ דמחנ יוסינ .אל,הגופה ירחא דוקפת לש הקידב,אל,יתעדל תויקוח התייה אל
15,22:2019_May_12_1331,אל,ךסמה לע עיפוהשכ בוהצה שלושמל בל םש קדבנה םאה,ןכ,תויקוחה המ תעדל השק היה לבא התייהש רעשמ ינא
16,23:2019_May_12_1803,.ןיינעמ היה יוסינה,.תוזירזל קויד ןיב רשקה תא קודבל,.ןכ,.יעצמאה שקמהמ טרפ רהוזל ךפוה אוה םלענ אוהש ינפל ןוכנה שקמה לע ןמזב םיצחול םא
17,24:2019_May_12_1859,אל, היצביטומו זוכיר ןוחבל,אל,תויקוח יתאצמ אל
18,25:2019_May_13_1201,אל,בשק דוקימ ,..תעדוי אל,תויקוח התייהש החוטב אל
19,26:2019_May_13_1421,אל,שיגרמ הז ךיאו הזב דמוע אוה המכ תוארלוםיבחר ייד םהו ךסמב שיש םינושה םיוריגה לכ רחא בוקעל קדבנה לש תלוכיה תא קודבל,םהל םאתש תדלקמב ןוכנה רותפכה תא וצחל רשאכ םעבצ תא וניש םילוגיעה,קלדנ לוגיעה זא עיפוה אוהש יתמ םיוסמ לוגיעל םאתש רותפכה לכ וצחלש םעפ לכ
20,27:2019_May_13_1433,תפייעתמ תחא די יכ היעב הזש וא הפ הרטמה הזש וא ריוואב הינשו תנעשמ םע תחא די,תובוגת קודבל,ןבל הייהנ אל לוגיעה יתמתחהשכ זא רחא ןצחל לע יתצחל םדוק תועטב םא ןבל הייהנ לוגיעה יתמתחהשכ,םדוק ףיעסב יתינע
21,28:2019_May_14_1104,אל,תעדוי אל,יהמ יתנבה אל לבא ןכש החינמ,התוא יתנבה אל
