Unnamed: 0,participant,Timestamp,מה לדעתך הייתה מטרת הניסוי?,האם לדעתך הייתה חוקיות כלשהי שגרמה לעיגולים להפוך לבנים?,מה לדעתך הייתה מטרת המשולשים הצהובים?,האם תרצה להוסיף משהו בנוגע לניסוי?
4,1,2020/10/01 12:32:24 pm GMT+3,בדיקת הקשר בין תנועות עיניים ומעקב אחר תגובות הצופה לבין כמות הקשב לטווח זמן שדורש רמת ריכוז מסויימת,העיגולים לא היו לבנים ממה שידוע לי,לבדוק את רמת הקשב,-
5,2,2020/10/01 1:29:52 pm GMT+3,בדיקה של יכולות מוטוריות וקוגניטיביות,לא,לעשות מן הפסקה וארגון מחדש של פעולות הנבדק,לא :)
6,3,2020/10/01 3:10:03 pm GMT+3,לבדוק לאילו צבעים אנשים מגיבים יותר במהירות,"לא ממש מצאתי חוקיות, אבל יכול להיות שיש",הפסקות?,לא
7,4,2020/10/01 4:49:26 pm GMT+3,לבדוק מהירות ודיוק,ברגע שעניתי תשובה נכונה,לבדוק אם אני עומדת טוב בהתקלות,לא
8,5,2020/10/01 6:25:11 pm GMT+3,לבדוק יכולת קשב וריכוז,מתי שהצלחתי ללחוץ על הכפתור הנכון,לבלבל,לא
9,6,2020/10/08 3:02:55 pm GMT+3,לבדוק זמן תגובה וקשר בין ראייה לפעולה,לא,לשנות את דפוס החשיבה לגבי הסימולציה,לא
10,7,2020/10/08 3:40:50 pm GMT+3,לבדוק מהירות תגובה\ריכוז לאורך זמן,לא שמתי לב למשהו מסוים,לבלבל\להוציא מריכוז\להקשות על מהירות התנועתיות של האצבעות,לא
11,8,2020/10/08 4:22:15 pm GMT+3,לא יודעת,לדעתי כאשר המקש הנכון נלחץ העיגול הפך ללבן.,לדעתי המטרה של המשולשים הייתה כדי שהלחיצה לא תהפוך להיות אוטומטית.,לא :)
12,11,2020/10/08 4:46:17 pm GMT+3,בדיקת זמן תגובה ואופן תגובה בהתאם לגירוי.,"לדעתי זה קשור לזמן התגובה.  כשזמן התגובה הוא בגדר הנורמה, העיגולים הופכים ללבנים. ",לתרגל גירוי שהוא לא חלק מאותיות המקלדת. ,להוסיף את הזמן הנותר עד תום הניסוי בקצה המסך. 
14,10,2020/10/08 5:46:53 pm GMT+3,לבדוק מהירות תגובה לאורך זמן,כשעניתי מהר,להוציא מהריכוז על ארבע מקשים וארבע צורות דומות,לא
